Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Eerste omschrijving;2014;2015;2016;2017;2018;2019
BP2014_2019-2/4.1.2.1/0740-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;0740-00;2400000;IE5;aanleg kleine buitensportterreinen;; 0,00; 13.000,00;;; 5.000,00
BP2014_2019-2/4.1.2.2/0701-00/2140007/BESTUUR/CBS/IE5/U;4.1.2.2;0701-00;2140007;IE5;cultuur  Verhogen van kijk-en zitcomfort (studiekosten);;; 30.600,00; 20.400,00;;
BP2014_2019-2/4.1.2.2/0701-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.2;0701-00;2210500;IE5;cultuur  Verhogen van kijk-en zitcomfort;;;; 510.000,00;;
BP2014_2019-2/4.1.2.3/0709-00/6640000/BESTUUR/CBS/IE5/U;4.1.2.3;0709-00;6640000;IE5;Toegestane investeringssubsidies; 38.000,00;;;;;
BP2014_2019-2/4.2.1.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.1;0750-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 16.029,10; 14.426,19; 14.426,19; 14.426,19; 14.426,19; 14.426,19
BP2014_2019-2/4.2.1.2/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.2;0740-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 8.200,00; 8.500,00; 8.500,00; 8.500,00; 8.500,00; 8.500,00
BP2014_2019-2/4.2.1.3/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.3;0740-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 13.500,00; 13.500,00; 13.500,00; 13.500,00; 13.500,00; 13.500,00
BP2014_2019-2/4.2.1.4/0701-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.4;0701-00;6493000;IE-GEEN;Toegestane werkingssubsidies aan verenigingen; 16.862,00; 15.700,00; 15.200,00; 15.200,00; 15.200,00; 15.200,00
BP2014_2019-2/4.2.1.4/0701-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.4;0701-00;6640000;IE6;Toegestane investeringssubsidies;; 2.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/4.2.1.5/0750-00/6160200/BESTUUR/CBS/IE-GEEN/U;4.2.1.5;0750-00;6160200;IE-GEEN;Huur voertuigen; 5.499,45; 6.500,00; 6.500,00; 6.500,00; 6.500,00; 6.500,00
BP2014_2019-2/4.2.1.6/0750-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.6;0750-00;6640000;IE6;Toegestane investeringssubsidies; 44.538,55; 119.654,94; 35.806,51;;;
BP2014_2019-2/4.2.1.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;4.2.1.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;; 1.000,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/4.2.2.1/0701-00/2400000/BESTUUR/CBS/IE6/U;4.2.2.1;0701-00;2400000;IE6;Meubilair - gemeenschapsgoederen; 3.036,72; 0,00; 3.000,00;; 3.000,00;
BP2014_2019-2/4.2.2.1/0750-00/6001000/BESTUUR/CBS/IE-GEEN/U;4.2.2.1;0750-00;6001000;IE-GEEN;Aankoop technisch materiaal; 760,68; 2.000,00; 2.000,00; 2.000,00; 2.000,00; 2.000,00
BP2014_2019-2/4.3.1.1/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.1.1;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;;; 500,00; 500,00; 500,00; 500,00
BP2014_2019-2/4.3.1.2/0729-00/2250000/BESTUUR/CBS/IE6/U;4.3.1.2;0729-00;2250000;IE6;Overige infrastructuur betreffende de wegen;;; 3.000,00;;;
BP2014_2019-2/4.3.1.3/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.1.3;0729-00;6159999;IE-GEEN;Overige exploitatiekosten; 15,00; 200,00; 200,00; 200,00; 200,00; 200,00
BP2014_2019-2/4.3.2.1/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.2.1;0729-00;6159999;IE-GEEN;Overige exploitatiekosten; 994,10; 4.100,00; 3.100,00; 3.100,00; 3.100,00; 3.100,00
BP2014_2019-2/4.3.2.1/0729-00/7010003/BESTUUR/CBS/IE-GEEN/O;4.3.2.1;0729-00;7010003;IE-GEEN;Toegangsgelden; 1.425,00;;;;;
BP2014_2019-2/4.3.2.2/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.2.2;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/4.3.3.1/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.1;0720-03;1500000;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;; 16.000,00;;;;
BP2014_2019-2/4.3.3.1/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.1;0720-03;2140000;IE6;studiekosten pastorie Bierbeek;; 38.999,53; 6.000,00;;;
BP2014_2019-2/4.3.3.2/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.2;0720-03;1500000;IE6;studiekosten en restauratie Sint Hilariuskerk;;;;; 445.035,00; 148.345,00
BP2014_2019-2/4.3.3.2/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.2;0720-03;2140000;IE6;Plannen en studies; 16.118,77; 0,00; 0,00; 3.839,00; 23.034,00; 3.839,00
BP2014_2019-2/4.3.3.2/0720-03/2210700/BESTUUR/CBS/IE6/U;4.3.3.2;0720-03;2210700;IE6;restauratie Sint-hilariuskerk dak;;;; 0,00; 698.021,00;
BP2014_2019-2/4.3.3.3/0720-01/1500000/BESTUUR/CBS/IE6/O;4.3.3.3;0720-01;1500000;IE6;studiekosten en restauratie Pastorie Opvelp;;;;;; 0,00
BP2014_2019-2/4.3.3.4/0720-01/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-01;6640000;IE6;Toegestane investeringssubsidies; 2.377,65; 20.000,00; 10.000,00; 10.000,00; 20.000,00; 0,00
BP2014_2019-2/4.3.3.4/0720-02/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-02;6640000;IE6;Toegestane investeringssubsidies;; 45.278,62; 90.557,24; 58.094,62; 6.875,00; 20.845,00
BP2014_2019-2/4.3.3.4/0720-03/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-03;6640000;IE6;Toegestane investeringssubsidies; 5.000,00; 15.000,00; 10.000,00; 10.000,00; 10.000,00; 10.000,00
BP2014_2019-2/4.3.3.4/0720-04/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-04;6640000;IE6;Toegestane investeringssubsidies; 4.000,43; 55.514,84;; 3.500,00;;
BP2014_2019-2/5.1.1.3/0800-02/2410000/BESTUUR/CBS/IE6/U;5.1.1.3;0800-02;2410000;IE6;smartboards school;; 11.699,51;;;;
BP2014_2019-2/5.1.2.1/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.1;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur; 44.175,72; 34.700,00; 47.803,44; 48.998,52; 50.223,49; 51.479,07
BP2014_2019-2/5.1.2.2/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.2;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur; 16.990,65; 12.500,00; 18.385,94; 18.845,59; 19.316,73; 19.799,64
BP2014_2019-2/5.1.2.3/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.3;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur; 6.796,26; 5.000,00; 7.354,38; 7.538,23; 7.726,69; 7.919,86
BP2014_2019-2/5.1.3.2/0800-01/2140007/BESTUUR/CBS/IE6/U;5.1.3.2;0800-01;2140007;IE6;Plannen en studies - Activa in aanbouw;; 0,00; 13.200,00; 19.800,00; 10.531,00;
BP2014_2019-2/5.1.3.2/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.2;0800-01;2210200;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen;;; 0,00; 333.000,00; 102.313,00;
BP2014_2019-2/5.1.3.2/0800-01/6100200/BESTUUR/CBS/IE-GEEN/U;5.1.3.2;0800-01;6100200;IE-GEEN;Huur en huurlasten van gehuurde onroerende goederen (korte termijn);;; 5.000,00; 10.000,00; 5.000,00;
BP2014_2019-2/5.1.3.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.3;0800-02;1500000;IE6;sanitair school;;; 0,00;;;
BP2014_2019-2/5.1.3.3/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.3;0800-02;2210200;IE6;Extra sanitair;;; 5.000,00;;;
BP2014_2019-2/5.1.3.4/0800-00/2140000/BESTUUR/CBS/IE6/U;5.1.3.4;0800-00;2140000;IE6;Overdracht krediet van 2014 naar 2015;; 0,00;;;; 0,00
BP2014_2019-2/5.1.3.4/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;0800-01;2210200;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen; 19.053,08; 0,00;;;;
BP2014_2019-2/5.1.3.4/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;0800-02;1500000;IE6;subsidies centrale school: daken, stookplaats, gebouw;; 490.000,00;;;;
BP2014_2019-2/5.1.3.4/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;0800-02;2210200;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen; 13.931,96; 0,00;;;; 80.000,00
BP2014_2019-2/5.1.3.5/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.5;0800-02;2400000;IE6;aankoop van speeltoestellen (school);;; 7.500,00;; 7.500,00;
BP2014_2019-2/5.1.3.6/0800-01/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;0800-01;2400000;IE6;Meubilair - gemeenschapsgoederen;;; 3.250,00;;;
BP2014_2019-2/5.1.3.6/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;0800-02;2400000;IE6;Meubilair - gemeenschapsgoederen;;; 21.800,00;;;
BP2014_2019-2/5.2.1.2/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0740-00;6159999;IE-GEEN;Overige exploitatiekosten; 792,50; 1.600,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/5.2.1.2/0889-00/6139999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0889-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;; 1.700,00; 2.400,00; 2.400,00; 2.400,00; 2.400,00
BP2014_2019-2/5.2.1.2/0889-00/6159999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0889-00;6159999;IE-GEEN;Overige exploitatiekosten; 3.277,79; 2.200,00; 1.500,00; 1.500,00; 1.500,00; 1.500,00
BP2014_2019-2/6.1.1.1/0410-00/6494000/BESTUUR/CBS/IE-GEEN/U;6.1.1.1;0410-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen; 299.224,47; 521.310,26; 349.189,08; 359.664,75; 370.454,70; 381.568,34
BP2014_2019-2/6.1.1.1/0410-00/6640000/BESTUUR/CBS/IE6/U;6.1.1.1;0410-00;6640000;IE6;Toegestane investeringssubsidies;; 64.719,32; 68.823,07; 68.823,07; 68.823,07; 68.823,07
BP2014_2019-2/6.1.1.2/0400-00/6494000/BESTUUR/CBS/IE-GEEN/U;6.1.1.2;0400-00;6494000;IE-GEEN;Toegestane werkingssubsidies aan andere overheidsinstellingen; 850.289,00; 850.289,00; 868.780,00; 896.617,00; 923.515,00; 951.220,45
BP2014_2019-2/6.1.2.4/0490-00/2410000/BESTUUR/CBS/IE6/U;6.1.2.4;0490-00;2410000;IE6;uitwerking en implementatie DRP tss OCMW en GH;;; 40.900,00;;;
BP2014_2019-2/6.1.3.1/0119-00/6149000/BESTUUR/CBS/IE-GEEN/U;6.1.3.1;0119-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;; 300,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/GBB-CBS/0010-00/7400000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0010-00;7400000;IE-GEEN;Gemeentefonds; 1.244.369,60; 1.304.696,80; 1.642.444,53; 1.689.110,13; 1.737.408,53; 1.787.397,33
BP2014_2019-2/GBB-CBS/0010-00/7404999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0010-00;7404999;IE-GEEN;Overige algemene werkingssubsidies; 117.207,67; 117.207,67; 117.207,67; 117.207,67; 117.207,67; 117.207,67
BP2014_2019-2/GBB-CBS/0010-00/7405001/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0010-00;7405001;IE-GEEN;Bijdrage gesubsidieerde contractuelen; 216.990,22; 323.754,15; 357.129,98; 357.129,98; 357.129,98; 357.129,98
BP2014_2019-2/GBB-CBS/0020-00/6479999/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0020-00;6479999;IE-GEEN;Overige diverse operationele kosten; 37.723,04; 42.675,14; 41.914,12; 43.171,54; 44.466,69; 45.800,69
BP2014_2019-2/GBB-CBS/0020-00/7300000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7300000;IE-GEEN;Opcentiemen op de onroerende voorheffing; 2.598.791,11; 2.587.693,83; 2.535.426,14; 2.586.134,66; 2.637.857,36; 2.690.614,50
BP2014_2019-2/GBB-CBS/0020-00/7301000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7301000;IE-GEEN;Aanvullende belasting op de personenbelasting; 3.772.303,21; 4.407.181,89; 4.106.514,38; 4.229.709,81; 4.356.601,11; 4.487.299,14
BP2014_2019-2/GBB-CBS/0020-00/7302000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7302000;IE-GEEN;Motorrijtuigen; 136.142,64; 140.868,00; 137.286,24; 140.031,96; 142.832,60; 145.689,26
BP2014_2019-2/GBB-CBS/0020-00/7315000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7315000;IE-GEEN;Afgifte identiteitsbewijzen/paspoorten/trouwboekjes/uittreksels; 69.349,37; 105.000,00; 95.000,00; 76.000,00; 72.000,00; 59.000,00
BP2014_2019-2/GBB-CBS/0020-00/7316000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7316000;IE-GEEN;Aanvragen stedenbouwkundige vergunningen; 7.277,46; 7.700,00; 11.000,00; 10.000,00; 10.000,00; 10.000,00
BP2014_2019-2/GBB-CBS/0020-00/7317000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7317000;IE-GEEN;Aanvragen/meldingen hinderlijke inrichtingen; 90,00; 250,00; 250,00; 250,00; 250,00; 250,00
BP2014_2019-2/GBB-CBS/0020-00/7319999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7319999;IE-GEEN;Andere belastingen op prestaties; 2.175,00; 2.500,00; 2.000,00; 2.500,00; 2.500,00; 2.500,00
BP2014_2019-2/GBB-CBS/0020-00/7330100/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7330100;IE-GEEN;Op rioolnet aangesloten en aansluitbare gebouwen; 16.109,00; 24.000,00; 24.000,00; 22.000,00; 22.000,00; 22.000,00
BP2014_2019-2/GBB-CBS/0020-00/7330200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7330200;IE-GEEN;Op waterleidingsnet aangesloten en aansluitbare gebouwen; 154.231,82; 415.330,00; 420.729,29; 426.198,77; 431.739,35; 437.351,96
BP2014_2019-2/GBB-CBS/0020-00/7331100/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7331100;IE-GEEN;Begraving / bijzetting / verstrooiing; 125,00; 125,00; 125,00; 125,00; 125,00; 125,00
BP2014_2019-2/GBB-CBS/0020-00/7332200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332200;IE-GEEN;Diftar/ophaalronde; 296.583,71; 295.000,00; 295.000,00; 295.000,00; 295.000,00; 295.000,00
BP2014_2019-2/GBB-CBS/0020-00/7332300/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332300;IE-GEEN;Afgifte zakken, klevers, recipiÃ«nten; 59.599,50; 57.000,00; 59.000,00; 59.000,00; 59.000,00; 59.000,00
BP2014_2019-2/GBB-CBS/0020-00/7332700/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332700;IE-GEEN;Bedrijfsvuil / nijverheidsvuil;; 2.200,00; 3.000,00; 3.000,00; 3.000,00; 3.000,00
BP2014_2019-2/GBB-CBS/0020-00/7332800/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332800;IE-GEEN;Sluikstorten;; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/GBB-CBS/0020-00/7340300/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7340300;IE-GEEN;Groeven: zand, kiezel, klei; 968,75; 1.550,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/GBB-CBS/0020-00/7341500/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7341500;IE-GEEN;Diensten verhuur voertuigen met bestuurder; 655,23; 332,56; 339,21; 346,00; 352,92; 359,97
BP2014_2019-2/GBB-CBS/0020-00/7341700/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7341700;IE-GEEN;Stapelplaatsen voor schroot / oude achtergelaten voertuigen/ materialen; 1.301,65; 1.300,00; 1.300,00; 1.300,00; 1.300,00; 1.300,00
BP2014_2019-2/GBB-CBS/0020-00/7342200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7342200;IE-GEEN;Reclameborden; 9.100,00; 9.000,00; 9.000,00; 9.000,00; 9.000,00; 9.000,00
BP2014_2019-2/GBB-CBS/0020-00/7342400/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7342400;IE-GEEN;Verspreiding kosteloos reclamedrukwerk;; 85.000,00; 85.000,00; 85.000,00; 85.000,00; 85.000,00
BP2014_2019-2/GBB-CBS/0020-00/7374000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7374000;IE-GEEN;Leegstaande woningen en gebouwen; 32.500,00; 35.000,00; 35.000,00; 35.000,00; 35.000,00; 35.000,00
BP2014_2019-2/GBB-CBS/0020-00/7377000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7377000;IE-GEEN;Tweede verblijven; 19.000,00; 15.000,00; 15.000,00; 15.000,00; 15.000,00; 15.000,00
BP2014_2019-2/GBB-CBS/0030-00/2903000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;2903000;IE-GEEN;Vorderingen wegens toegestane leningen - nominale waarde; 111.539,60;;;;;
BP2014_2019-2/GBB-CBS/0030-00/6400001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0030-00;6400001;IE-GEEN;Roerende voorheffing; 1.919,16; 4.125,00; 4.125,00; 4.125,00; 4.125,00; 4.125,00
BP2014_2019-2/GBB-CBS/0030-00/6570001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0030-00;6570001;IE-GEEN;Debetintresten bankrekeningen; 281,47; 100,00; 100,00; 100,00; 100,00; 100,00
BP2014_2019-2/GBB-CBS/0030-00/7500000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7500000;IE-GEEN;Opbrengsten uit financiÃ«le vaste activa; 19.775,00; 48.900,00; 33.900,00; 33.900,00; 33.900,00; 33.900,00
BP2014_2019-2/GBB-CBS/0030-00/7510000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7510000;IE-GEEN;Creditintresten op rekening courant; 972,58; 1.500,00; 200,00; 500,00; 600,00; 700,00
BP2014_2019-2/GBB-CBS/0030-00/7510002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7510002;IE-GEEN;Opbrengsten termijn -en spaarrekeningen; 6.927,61; 9.000,00; 5.000,00; 4.500,00; 4.000,00; 4.000,00
BP2014_2019-2/GBB-CBS/0040-00/1733000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0040-00;1733000;IE-GEEN;Schulden aan kredietinstellingen ten laste van het bestuur; 1.484.300,00;;;;;
BP2014_2019-2/GBB-CBS/0040-00/1749000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0040-00;1749000;IE-GEEN;Overige leningen;; 3.600.000,00; 1.140.000,00; 1.400.000,00; 1.700.000,00; 0,00
BP2014_2019-2/GBB-CBS/0040-00/4233000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;4233000;IE-GEEN;Schulden aan kredietinstellingen aangegaan door het bestuur; 1.204.924,73; 1.406.507,79; 1.079.293,97; 1.104.684,21; 1.073.711,09; 1.073.256,62
BP2014_2019-2/GBB-CBS/0040-00/4240000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;4240000;IE-GEEN;Overige leningen; 7.929,58;; 160.490,90; 160.753,78; 161.025,20; 161.305,39
BP2014_2019-2/GBB-CBS/0040-00/6500000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;6500000;IE-GEEN;FinanciÃ«le kosten van leningen ten laste van het bestuur; 285.169,01; 434.695,67; 298.372,75; 308.660,19; 334.182,95; 308.117,06
BP2014_2019-2/GBB-CBS/0040-00/6500200/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;6500200;IE-GEEN;FinanciÃ«le kosten prefinancieringsleningen; 1.408,85; 34.840,21; 42.539,85; 39.229,74; 35.911,08; 32.583,66
BP2014_2019-2/GBB-CBS/0040-01/6500000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-01;6500000;IE-GEEN;FinanciÃ«le kosten van leningen ten laste van het bestuur;; 36,67;;;;
BP2014_2019-2/GBB-CBS/0050-00/2610000/BESTUUR/CBS/IE7/U;GBB-CBS;0050-00;2610000;IE7;Gebouwen - overige MVA;; 0,00; 22.000,00;;;
BP2014_2019-2/GBB-CBS/0050-00/6100999/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6100999;IE-GEEN;Andere huur en huurlasten van onroerende goederen;; 632,77; 632,77; 632,77; 632,77; 632,77
BP2014_2019-2/GBB-CBS/0050-00/6103001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6103001;IE-GEEN;Benodigdheden voor gebouwen; 2.658,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00; 1.000,00
BP2014_2019-2/GBB-CBS/0050-00/6103010/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6103010;IE-GEEN;Prestaties van derden voor onderhoud en herstelling gebouwen; 4.476,19; 3.500,00; 3.500,00; 3.500,00; 3.500,00; 3.500,00
BP2014_2019-2/GBB-CBS/0050-00/6120100/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6120100;IE-GEEN;Brandverzekering; 16.216,74; 18.881,00; 17.218,62; 17.562,99; 17.914,25; 18.272,54
BP2014_2019-2/GBB-CBS/0050-00/6131010/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6131010;IE-GEEN;Erelonen en vergoedingen expertises; 1.563,50; 1.250,00; 2.750,00; 750,00; 750,00; 750,00
BP2014_2019-2/GBB-CBS/0050-00/6400000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6400000;IE-GEEN;Onroerende voorheffing; 10.291,87; 10.454,50; 10.611,32; 10.770,49; 10.932,04; 11.096,03
BP2014_2019-2/GBB-CBS/0050-00/7040999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7040999;IE-GEEN;Andere terugvorderingen en tussenkomsten; 183,92;;;;;
BP2014_2019-2/GBB-CBS/0050-00/7050002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050002;IE-GEEN;Opbrengsten uit verhuur woningen en flats; 58.323,60; 60.996,00; 72.741,00; 74.195,82; 75.679,73; 77.193,33
BP2014_2019-2/GBB-CBS/0050-00/7050003/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050003;IE-GEEN;Opbrengsten uit verpachtingen; 6.753,76; 6.753,76; 6.753,76; 7.429,14; 7.429,14; 7.429,14
BP2014_2019-2/GBB-CBS/0050-00/7050999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050999;IE-GEEN;Andere huuropbrengsten; 1.185,70; 5.300,00; 5.300,00; 5.300,00; 5.300,00; 5.300,00
BP2014_2019-2/GBB-CBS/0050-00/7060002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7060002;IE-GEEN;Opbrengsten uit jachtrechten;; 1.243,62; 1.256,06; 1.267,62; 1.281,30; 1.294,12
BP2014_2019-2/GBB-CBS/0090-00/7040999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0090-00;7040999;IE-GEEN;Andere terugvorderingen en tussenkomsten; 335,00; 135,00; 300,00; 300,00; 300,00; 300,00
BP2014_2019-2/GBB-CBS/0100-00/6200000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200000;IE-GEEN;Wedden van de gemeentemandatarissen; 186.393,96; 195.000,00; 196.170,00; 200.093,40; 204.095,27; 238.633,49
BP2014_2019-2/GBB-CBS/0100-00/6200001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200001;IE-GEEN;Presentiegelden van de gemeentemandatarissen; 31.200,00; 32.000,00; 32.000,00; 32.000,00; 32.000,00; 35.000,00
BP2014_2019-2/GBB-CBS/0100-00/6200100/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200100;IE-GEEN;Vakantiegeld politiek personeel; 7.887,13;;;;;
BP2014_2019-2/GBB-CBS/0100-00/6200300/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200300;IE-GEEN;Andere vergoedingen mandatarissen; 113,00; 100,00; 100,00; 100,00; 100,00; 100,00
BP2014_2019-2/GBB-CBS/0100-00/6206100/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6206100;IE-GEEN;Vakantiegeld mandatarissen;; 0,00; 0,00; 0,00; 0,00; 0,00
BP2014_2019-2/GBB-CBS/0100-00/6210000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6210000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - mandatarissen; 3.705,40; 4.100,00; 4.124,60; 4.207,09; 4.291,23; 5.017,42
BP2014_2019-2/GBB-CBS/0100-00/6231005/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6231005;IE-GEEN;Verzekering arbeidsongevallen; 1.544,13; 1.572,00; 1.594,44; 1.617,33; 1.640,68; 1.664,49
BP2014_2019-2/GBB-CBS/0100-00/6240000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6240000;IE-GEEN;Pensioenen politiek personeel - gepensioneerde schepenen en burgemeesters; 92.815,31; 91.000,00; 91.546,00; 93.376,92; 95.244,46; 97.149,35
BP2014_2019-2/GBB-CBS/0100-00/7440000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0100-00;7440000;IE-GEEN;Inhouding pensioen; 13.177,09; 13.200,00; 13.200,00; 13.200,00; 13.200,00; 13.200,00
BP2014_2019-2/GBB-CBS/0110-00/6141003/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0110-00;6141003;IE-GEEN;Post- en frankeringskosten; 18.209,38; 18.200,00; 19.000,00; 19.000,00; 19.000,00; 19.000,00
