Code;Actie;Actie oms.;BI;Beleidsitem oms.;AR;IE;Eerste omschrijving;U;2014;2015;2016;2017;2018;2019;;geen aanpassing;;;;;;;;
BP2014_2019-0/3.2.2.4/0290-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.2.2.4;Onderzoeken en deelnemen aan acties inzake milieuvriendelijke mobiliteit;0290-00;Overige mobiliteit en verkeer;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 500.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/3.2.3.2/0290-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;3.2.3.2;Voeren van meetcampagnes;0290-00;Overige mobiliteit en verkeer;6139999;IE-GEEN;Prestaties van derden (Uitvoeren verkeersmetingen en -tellingen);U;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;;;;;;;;;
BP2014_2019-0/3.2.3.3/0290-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.2.3.3;Ondernemen van sensibiliserende acties inzake doorgaand verkeer door de woonstraten;0290-00;Overige mobiliteit en verkeer;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 500.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0290-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0290-00;Overige mobiliteit en verkeer;6159999;IE-GEEN;Sensibilisatie mobiliteit;U;€ 1,000.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0300-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0300-00;Ophalen en verwerken van huishoudelijk afval;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;U;€ 2,800.00;€ 2,800.00;€ 2,800.00;€ 2,800.00;€ 2,800.00;;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0300-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0300-00;Ophalen en verwerken van huishoudelijk afval;6159999;IE-GEEN;Inzameling herbruikbare goederen;U;€ 9,000.00;€ 415,000.00;€ 415,000.00;€ 415,000.00;€ 415,000.00;€ 415,000.00;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0309-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0309-00;Overig afval- en materialenbeheer;6150010;IE-GEEN;Opleidingskosten;U;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;;;;;;;;;;
BP2014_2019-0/3.4.3.1/0309-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 271,500.00;€ 271,500.00;€ 271,500.00;€ 271,500.00;€ 271,500.00;€ 271,500.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6001000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6001000;IE-GEEN;Aankoop technisch materiaal;U;€ 500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6040000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6040000;IE-GEEN;Aankopen van roerende goederen bestemd voor verkoop;U;€ 6,500.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6103001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6103001;IE-GEEN;Benodigdheden voor gebouwen;U;€ 3,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6103010/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6103010;IE-GEEN;Prestaties van derden voor onderhoud en herstelling gebouwen;U;€ 2,000.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6110000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6110000;IE-GEEN;Elektriciteit;U;€ 2,000.00;€ 2,500.00;€ 2,537.50;€ 2,575.56;€ 2,614.19;€ 2,653.40;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6113000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6113000;IE-GEEN;Water;U;€ 600.00;€ 500.00;€ 507.50;€ 515.11;€ 522.84;€ 530.68;;1,5% index;€ 110.89;2014;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;U;€ 406,000.00;€ 22,450.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 3,500.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6141004/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6141004;IE-GEEN;Communicatiekosten telefoon en internet;U;€ 660.00;€ 660.00;€ 660.00;€ 660.00;€ 660.00;€ 660.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);U;€ 1.70;€ 1.70;€ 1.70;€ 1.70;€ 1.70;€ 1.70;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6142001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6142001;IE-GEEN;Aankoop klein hard- en softwaremateriaal;U;€ 440.00;€ 200.00;€ 200.00;€ 200.00;€ 200.00;€ 200.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6149000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6149000;IE-GEEN;Overige administratie- en kantoorkosten;U;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6159999/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6159999;IE-GEEN;Diftar terugbetalingen;U;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6202000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6202000;IE-GEEN;Bezoldigingen gesubsidieerde contractuelen;U;€ 37,900.00;€ 39,051.67;€ 40,168.69;€ 41,164.15;€ 42,184.51;€ 43,230.37;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6212000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6212000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - gesubsidieerde contractuelen;U;€ 2,050.00;€ 2,101.25;€ 2,153.78;€ 2,207.63;€ 2,262.82;€ 2,319.39;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6222000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6222000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen -gesubs.contract.;U;€ 400.00;€ 410.00;€ 420.25;€ 430.76;€ 441.53;€ 452.56;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6222100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6222100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek.-hospitalisatieverzek.-gesubs.contract.;U;€ 275.00;€ 280.50;€ 286.11;€ 291.83;€ 297.67;€ 303.62;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6231004;IE-GEEN;Maaltijdcheques;U;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6493000;IE-GEEN;Subsidiëring zwerfvuilacties;U;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0309-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0309-00;Overig afval- en materialenbeheer;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;U;€ 47.00;€ 47.71;€ 48.42;€ 49.15;€ 49.88;€ 50.63;;;;;;;;;;
BP2014_2019-0/3.1.2.3/0310-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.3;Stimuleren van maatregelen voor duurzaam bouwen en wonen;0310-00;Beheer van regen- en afvalwater;6491000;IE-GEEN;Sanering stookolietanks;U;€ 6,000.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/3.3.4.1/0310-00/6103510/BESTUUR/CBS/600/IE-GEEN/U;3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;6103510;IE-GEEN;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);U;€ 127,200.00;€ 142,600.00;€ 142,600.00;€ 127,600.00;€ 127,600.00;€ 127,600.00;;;127.6;;44.4;;;;;
BP2014_2019-0/3.3.4.4/0310-00/6103510/BESTUUR/CBS/600/IE-GEEN/U;3.3.4.4;Voeren van een milieuvriendelijk waterlopenbeheer;0310-00;Beheer van regen- en afvalwater;6103510;IE-GEEN;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);U;€ 9,250.00;€ 9,250.00;€ 9,250.00;€ 9,250.00;€ 9,250.00;€ 9,250.00;;;;;;;;;;
BP2014_2019-0/3.3.4.6/0310-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.3.4.6;Stimuleren van duurzaam watergebruik;0310-00;Beheer van regen- en afvalwater;6491000;IE-GEEN;Subsidie hemelwaterputten/infiltratiesystemen enz...;U;€ 12,000.00;€ 9,000.00;€ 6,000.00;;;;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0310-00/6001000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;Beheer van regen- en afvalwater;6001000;IE-GEEN;Aankoop technisch materiaal;U;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0310-00/6040000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;Beheer van regen- en afvalwater;6040000;IE-GEEN;Aankopen van roerende goederen bestemd voor verkoop;U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0310-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0310-00;Beheer van regen- en afvalwater;6139999;IE-GEEN;Erelonen afkoppeling hemelwater;U;€ 16,000.00;;;;;;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0319-00/6103510/BESTUUR/CBS/490/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0319-00;Overig waterbeheer;6103510;IE-GEEN;Aandeel in kosten voor onderhoud & ruiming onbevaarbare waterlopen;U;€ 20,739.84;€ 20,000.00;€ 20,000.00;€ 20,000.00;€ 20,000.00;€ 20,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0319-00/6400005/BESTUUR/CBS/490/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0319-00;Overig waterbeheer;6400005;IE-GEEN;Belastingen op polders en wateringen;U;€ 260.00;€ 260.00;€ 260.00;€ 260.00;€ 260.00;€ 260.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0320-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0320-00;Sanering van bodemverontreiniging;6139999;IE-GEEN;Analyses oppervlaktewater;U;€ 0.00;€ 0.00;€ 6,600.00;€ 0.00;€ 0.00;€ 6,600.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0320-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0320-00;Sanering van bodemverontreiniging;6491000;IE-GEEN;Toelage grondonderzoek;U;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;;;;;;;;;;
BP2014_2019-0/3.3.2.7/0329-00/6170001/BESTUUR/CBS/600/IE-GEEN/U;3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0329-00;Overige vermindering van milieuverontreiniging;6170001;IE-GEEN;Vergoeding aan personen ter beschikking gesteld van het bestuur;U;€ 22,000.00;€ 17,000.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0329-00/6001000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0329-00;Overige vermindering van milieuverontreiniging;6001000;IE-GEEN;Aankoop technisch materiaal;U;€ 4,000.00;€ 3,000.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0341-00/6170001/BESTUUR/CBS/470/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0341-00;Erosiebestrijding;6170001;IE-GEEN;Vergoeding ondersteuning grondgebiedzaken;U;€ 8,900.00;€ 8,900.00;€ 8,900.00;€ 8,900.00;€ 8,900.00;€ 8,900.00;;;;;;;;;;
BP2014_2019-0/3.3.2.3/0349-00/6103510/BESTUUR/CBS/600/IE-GEEN/U;3.3.2.3;Opmaken en uitvoeren van een nieuw bermbeheerplan;0349-00;Overige bescherming van biodiversiteit, landschappen en bodem;6103510;IE-GEEN;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);U;€ 12,600.00;;;;;;;;;;;;;;;
BP2014_2019-0/3.1.2.2/0350-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.2;Geven van gratis planadvies voor bouwers en verbouwers;0350-00;Klimaat en energie;6491000;IE-GEEN;Toegestane werkingssubsidies aan gezinnen;U;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;;;;;;;;;;
BP2014_2019-0/3.1.2.3/0350-00/6491000/BESTUUR/CBS/500/IE-GEEN/U;3.1.2.3;Stimuleren van maatregelen voor duurzaam bouwen en wonen;0350-00;Klimaat en energie;6491000;IE-GEEN;Subsidie energiebesparing;U;€ 7,250.00;€ 7,250.00;€ 7,250.00;€ 7,250.00;€ 7,250.00;€ 7,250.00;;;;;;;;;;
BP2014_2019-0/3.3.2.7/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 2,000.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/3.4.1.1/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.1.1;Vervullen van een voorbeeldrol op vlak van energiebesparing;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 2,500.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;;;;;;;;;;
BP2014_2019-0/3.4.1.3/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.1.3;Sensibiliseren van gemeentelijke diensten en inwoners;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;;;;;;;;;
BP2014_2019-0/3.4.3.2/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.3.2;Stimuleren van het gebruik van milieuvriendelijke en duurzame producten;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 250.00;€ 750.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/3.4.3.4/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.3.4;Stimuleren en ondersteunen van de kringloopwerking;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 1,500.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/3.5.1.6/0380-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.5.1.6;Stimuleren van duurzame lokale productie en consumptie;0380-00;Participatie en sensibilisatie;6159999;IE-GEEN;Overige exploitatiekosten;U;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/1.1.2.1/0390-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0390-00;Overige milieubescherming;6493000;IE-GEEN;Toelage milieuraad;U;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0390-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0390-00;Overige milieubescherming;6150010;IE-GEEN;Opleidingskosten;U;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);U;€ 0.50;€ 0.50;€ 0.50;€ 0.50;€ 0.50;€ 0.50;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;U;€ 34,115.19;€ 34,968.07;€ 35,842.27;€ 36,738.33;€ 37,656.79;€ 38,598.21;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6203000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6203000;IE-GEEN;Bezoldigingen contractueel personeel;U;€ 23,350.00;€ 24,233.76;€ 25,132.10;€ 25,745.40;€ 26,374.04;€ 27,018.38;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;U;€ 10,000.00;€ 10,250.00;€ 10,506.25;€ 10,768.91;€ 11,038.13;€ 11,314.08;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;U;€ 10,000.00;€ 10,400.00;€ 10,816.00;€ 11,140.48;€ 11,474.69;€ 11,818.94;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6213000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6213000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - contractuelen;U;€ 6,650.00;€ 6,816.26;€ 6,986.66;€ 7,161.32;€ 7,340.36;€ 7,523.86;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;U;€ 233.20;€ 237.86;€ 242.62;€ 247.47;€ 252.42;€ 257.47;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6223000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6223000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen - contractuelen;U;€ 250.00;€ 256.26;€ 262.66;€ 269.22;€ 275.96;€ 282.86;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6223100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6223100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;U;€ 107.87;€ 110.03;€ 112.23;€ 114.48;€ 116.76;€ 119.10;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6231004;IE-GEEN;Maaltijdcheques;U;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6493000;IE-GEEN;Subsidie Bond Beter Leefmilieu;U;€ 490.00;€ 499.80;€ 509.80;€ 519.99;€ 530.39;€ 541.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0390-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0390-00;Overige milieubescherming;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;U;€ 94.00;€ 95.41;€ 96.84;€ 98.29;€ 99.77;€ 101.26;;;;;;;;;;
BP2014_2019-0/6.1.1.2/0400-00/6494000/BESTUUR/CBS/460/IE-GEEN/U;6.1.1.2;Voorzien van een bijdrage voor de politiezone;0400-00;Politiediensten;6494000;IE-GEEN;Bijdrage werking politie;U;€ 850,289.00;€ 850,289.00;€ 873,809.00;€ 900,024.00;€ 927,024.00;€ 954,834.72;;;;;;;;;;
BP2014_2019-0/6.1.1.1/0410-00/6494000/BESTUUR/CBS/470/IE-GEEN/U;6.1.1.1;Voorzien van een bijdrage voor de brandweerzone;0410-00;Brandweer;6494000;IE-GEEN;Bijdrage werking brandweer;U;€ 354,144.20;€ 364,018.53;€ 349,189.08;€ 359,664.75;€ 370,454.70;€ 381,568.34;;;;;;;;;;
BP2014_2019-0/1.1.2.1/0500-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0500-00;Handel en middenstand;6493000;IE-GEEN;Subsidie middenstandsraad;U;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/3.5.1.4/0500-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;6139999;IE-GEEN;Lokale economie;U;€ 2,500.00;€ 7,500.00;€ 7,500.00;€ 7,500.00;€ 7,500.00;€ 7,500.00;;;;;;;;;;
BP2014_2019-0/1.1.2.1/0520-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0520-00;Toerisme - Onthaal en promotie;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";U;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0520-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0520-00;Toerisme - Onthaal en promotie;6150010;IE-GEEN;Opleidingskosten;U;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;;;;;;;;;;
BP2014_2019-0/3.5.3.2/0520-00/6139999/BESTUUR/CBS/600/IE-GEEN/U;3.5.3.2;Opmaken en uitvoeren van het Project �De Borre als poort tot Meerdaalwoud�;0520-00;Toerisme - Onthaal en promotie;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;U;;;;€ 500.00;€ 500.00;€ 500.00;;;;;;;;;;
BP2014_2019-0/3.5.3.4/0520-00/6150013/BESTUUR/CBS/600/IE-GEEN/U;3.5.3.4;Uitgeven van toeristische folders en routes voor wandelaars en nietgemotoriseerd verkeer;0520-00;Toerisme - Onthaal en promotie;6150013;IE-GEEN;Drukwerk voor exploitatie;U;;€ 1,000.00;€ 5,000.00;€ 3,000.00;;;;;;;;;;;;
BP2014_2019-0/3.5.3.5/0520-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.5.3.5;Bewegwijzeren van routes voor wandelaars en niet-gemotoriseerd verkeer;0520-00;Toerisme - Onthaal en promotie;6159999;IE-GEEN;Overige exploitatiekosten - Toerisme;U;€ 1,500.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0520-00/6001000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0520-00;Toerisme - Onthaal en promotie;6001000;IE-GEEN;Aankoop technisch materiaal;U;€ 500.00;€ 200.00;€ 200.00;€ 200.00;€ 200.00;€ 200.00;;;;;;;;;;
