Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Aangerekend 2016 tot nu;Nog beschikbaar;Verschil AR 2016-AR2015;Verschil % AR 2016-AR2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;151132,59;96136,84;-   ;151132,59;-96136,84;-100,00 %;;;;;
3.2.1.10;Inventariseren, opmaken en uitvoeren van een onderhoudsplan voor wegen en paden;0200-00;Wegen;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;50000;46117,78;17882,91;32117,09;-28234,87;-61,22 %;;10000;60000;bijlkomend budget voor uitbesteden onderhoud hagen;
3.2.1.2;Aanleg van fietspaden langs de Tiensesteenweg tussen de Kerselaarlaan en de grens met Boutersem;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE3;30039,35;17277,36;-   ;30039,35;-17277,36;-100,00 %;;;;;
3.2.1.3;Aanleg van fietspaden langs de Pellenbergstraat;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;345047,15;-   ;-   ;345047,15;-   ;-;;;;;
3.2.1.4;Aanleg van fietspaden langs de Lovenjoelsestraat tussen de Weterbeekstraat en de Bruulstraat;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE3;43718,33;22267,67;11900;31818,33;-10367,67;-46,56 %;;;;;
3.2.1.5;Opstarten en uitvoeren van fietspadendossiers;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.1.6;Aanleg andere fietsinfrastructuur (fietsstallingen, fietssuggestiestroken, …);0200-00;Wegen;U;6150001;Aankoop klein materieel;IE-GEEN;3500;-   ;-   ;3500;-   ;-;;;;;
3.2.1.7;Heraanleggen van wegen;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE3;55000;-   ;-   ;55000;-   ;-;;;;;
3.2.1.7;Heraanleggen van wegen;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;338006,39;352871,72;159385,69;178620,7;-193486,03;-54,83 %;;50000;388006,39;herstellen kapotte brug nav noodweer;
3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0200-00;Wegen;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;15000;-   ;-   ;15000;-   ;-;;;;;
3.2.2.1;Opmaken en uitvoeren van een actieplan Trage Wegen;0290-00;Overige mobiliteit en verkeer;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;4000;-   ;-   ;4000;-   ;-;;;;;
3.2.2.2;Promoten van het openbaar vervoer;0210-00;Openbaar vervoer;U;2250000;Overige infrastructuur betreffende de wegen;IE3;7500;-   ;-   ;7500;-   ;-;;;;;
3.2.2.2;Promoten van het openbaar vervoer;0210-00;Openbaar vervoer;U;6040000;Aankopen van roerende goederen bestemd voor verkoop;IE-GEEN;-   ;27;-   ;-   ;-27;-100,00 %;;;;;
3.2.2.2;Promoten van het openbaar vervoer;0210-00;Openbaar vervoer;U;6150005;Vervoer;IE-GEEN;12000;5685,91;3358,87;8641,13;-2327,04;-40,93 %;;;;;
3.2.2.3;Opzetten van en deelnemen aan sensibilisatiecampagnes volgens het STOP-principe;0290-00;Overige mobiliteit en verkeer;U;6159999;Overige exploitatiekosten;IE-GEEN;1500;1299,91;606,1;893,9;-693,81;-53,37 %;;;;;
3.2.2.4;Onderzoeken en deelnemen aan acties inzake milieuvriendelijke mobiliteit;0290-00;Overige mobiliteit en verkeer;U;6159999;Overige exploitatiekosten;IE-GEEN;1000;153,37;-   ;1000;-153,37;-100,00 %;;;;;
3.2.3.1;Herinrichten van de Panoramalaan;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;200000;-   ;-   ;200000;-   ;-;;50000;250000;verwachtte meerkost werken panoramalaan;
3.2.3.2;Voeren van meetcampagnes;0290-00;Overige mobiliteit en verkeer;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;1500;-   ;-   ;1500;-   ;-;;;;;
3.2.3.3;Ondernemen van sensibiliserende acties inzake doorgaand verkeer door de woonstraten;0290-00;Overige mobiliteit en verkeer;U;6159999;Overige exploitatiekosten;IE-GEEN;1000;953,9;-   ;1000;-953,9;-100,00 %;;;;;
3.2.4.1;Herinrichten van de Pastoriestraat;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE3;7223,76;32776,24;-   ;7223,76;-32776,24;-100,00 %;;;;;
3.2.4.3;Voeren van meetcampagnes;0200-00;Wegen;U;2250000;Overige infrastructuur betreffende de wegen;IE3;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.4.3;Voeren van meetcampagnes;0200-00;Wegen;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.2.4.3;Voeren van meetcampagnes;0290-00;Overige mobiliteit en verkeer;U;6150300;Onderhoud en herstelling technisch materieel;IE-GEEN;500;577,63;2978,31;-2478,31;2400,68;415,61 %;;3000;3500;herstelling snelheidsborden - verschuiving van investeringen naar exploitatie (was voorzien in 2015);
3.3.1.1;Uitvoeren van verbeteringswerken in de dorpskern van Lovenjoel;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE6;304896,57;57103,43;-   ;304896,57;-57103,43;-100,00 %;;;;;
3.3.1.3;Opmaken en uitvoeren van RUP Sint-Kamillus;0610-00;Gebiedsontwikkeling;U;2140000;Plannen en studies;IE6;15000;-   ;-   ;15000;-   ;-;;;;;
3.3.1.4;Opmaken en uitvoeren van RUP voor zonevreemde gebouwen en constructies;0610-00;Gebiedsontwikkeling;U;2140000;Plannen en studies;IE6;30000;-   ;-   ;30000;-   ;-;;;;;
3.3.1.5;Opmaken en uitvoeren van RUP kerkhoven/containerparken/scholen;0610-00;Gebiedsontwikkeling;U;2140000;Plannen en studies;IE6;15000;-   ;-   ;15000;-   ;-;;;;;
3.3.1.6;Opmaken en uitvoeren van RUP voetbalterreinen Bierbeek/Lovenjoel;0610-00;Gebiedsontwikkeling;U;2140000;Plannen en studies;IE6;45000;-   ;-   ;45000;-   ;-;;;;;
3.3.1.7;Participeren in de ruilverkaveling Willebringen;0530-00;Land-, tuin- & bosbouw;U;2240007;Wegen - Activa in aanbouw;IE6;51408;51408;-   ;51408;-51408;-100,00 %;;;;;
3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;Groene ruimte;U;2140007;Plannen en studies - Activa in aanbouw;IE6;5954,17;-   ;5611,98;342,19;5611,98;-;;;;;
3.3.1.8;Inrichten en aanleggen van het binnengebied in Opvelp;0680-00;Groene ruimte;U;2200400;Onbebouwde terreinen - parken & tuinen - gemeenschapsgoederen;IE6;100000;29388,6;-   ;100000;-29388,6;-100,00 %;;;;;
3.3.1.9;Herinrichten van de bovenparking van de Borre;0119-00;Overige algemene diensten;U;2240007;Wegen - Activa in aanbouw;IE6;100000;-   ;-   ;100000;-   ;-;;;;;
3.3.1.9;Herinrichten van de bovenparking van de Borre;0200-00;Wegen;U;2140007;Plannen en studies - Activa in aanbouw;IE6;10000;-   ;-   ;10000;-   ;-;;;;;
3.3.1.9;Herinrichten van de bovenparking van de Borre;0200-00;Wegen;U;2240007;Wegen - Activa in aanbouw;IE6;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.3.2.3;Opmaken en uitvoeren van een nieuw bermbeheerplan;0200-00;Wegen;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;47500;41824,46;863,1;46636,9;-40961,36;-97,94 %;;10000;57500;bijlkomend budget voor uitbesteden maaien wandelwegen;
3.3.2.3;Opmaken en uitvoeren van een nieuw bermbeheerplan;0349-00;Overige bescherming van biodiversiteit, landschappen en bodem;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.3.2.4;Opvolgen en uitvoeren van het parkbeheerplan van Salve Mater;0200-00;Wegen;U;6150001;Aankoop klein materieel;IE-GEEN;3000;-   ;-   ;3000;-   ;-;;;;;
3.3.2.5;Verwerven van gronden in het kader van natuurbehoud;0340-00;Aankoop, inrichting en beheer van natuur, groen en bos;U;6640000;Toegestane investeringssubsidies;IE6;5000;-   ;-   ;5000;-   ;-;;;;;
3.3.2.6;Samenwerken voor acties rond het verhogen van de biodiversiteit;0340-00;Aankoop, inrichting en beheer van natuur, groen en bos;U;6159999;Overige exploitatiekosten;IE-GEEN;5000;-   ;-   ;5000;-   ;-;;;;;
3.3.2.6;Samenwerken voor acties rond het verhogen van de biodiversiteit;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;1500;1241,74;136,74;1363,26;-1105;-88,99 %;;;;;
3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0329-00;Overige vermindering van milieuverontreiniging;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;5000;-   ;-   ;5000;-   ;-;;;;;
3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0329-00;Overige vermindering van milieuverontreiniging;U;6170001;Vergoeding aan personen ter beschikking gesteld van het bestuur;IE-GEEN;3000;19837,75;2612,25;387,75;-17225,5;-86,83 %;;;;;
3.3.2.7;Optimaliseren van het handhavingsbeleid en de klachtenbehandeling inzake leefmilieu;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;Jeugd;U;2200500;Onbebouwde terreinen - sport- en speelpleinen - gemeenschapsgoederen;IE6;9300;-   ;-   ;9300;-   ;-;;;;;
3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;Jeugd;U;2400000;Meubilair - gemeenschapsgoederen;IE6;10000;-   ;-   ;10000;-   ;-;;;;;
3.3.3.1;Aanleggen en onderhouden van gemeentelijke speelterreinen;0750-00;Jeugd;U;6001000;Aankoop technisch materiaal;IE-GEEN;1000;951,63;-   ;1000;-951,63;-100,00 %;;;;;
3.3.3.2;Aankopen van speeltoestellen;0750-00;Jeugd;U;2400000;Meubilair - gemeenschapsgoederen;IE6;14386,02;7980,85;-   ;14386,02;-7980,85;-100,00 %;;;;;
3.3.3.3;Opzetten van peterschappen voor het gebruik en het onderhoud van publieke ruimte;0309-00;Overig afval- en materialenbeheer;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;750;-   ;750;-   ;750;-;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;U;2140007;Plannen en studies - Activa in aanbouw;IE6;68839,89;-   ;1194,28;67645,61;1194,28;-;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;U;2280007;Riolering - Activa in aanbouw;IE6;150000;-   ;-   ;150000;-   ;-;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;135700;102644,67;17249,45;118450,55;-85395,22;-83,19 %;;;;;
3.3.4.1;Aanleggen en verbeteren van rioleringen;0310-00;Beheer van regen- en afvalwater;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;15000;10160;1500;13500;-8660;-85,24 %;;;;;
3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;Erosiebestrijding;U;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.3.4.2;Aanleggen van waterbufferbekkens in het kader van erosie;0341-00;Erosiebestrijding;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;109000;-   ;-   ;109000;-   ;-;;;;;
3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;Erosiebestrijding;U;2140000;Plannen en studies;IE6;7440;-   ;-   ;7440;-   ;-;;;;;
3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;Erosiebestrijding;U;2200100;Onbebouwde terreinen - landbouwgronden - gemeenschapsgoederen;IE6;7500;-   ;-   ;7500;-   ;-;;;;;
3.3.4.3;Nemen van andere maatregelen in het kader van erosiebestrijding;0341-00;Erosiebestrijding;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;115000;-   ;-   ;115000;-   ;-;;;;;
3.3.4.4;Voeren van een milieuvriendelijk waterlopenbeheer;0310-00;Beheer van regen- en afvalwater;U;6103510;Prestaties van derden voor wegen en waterlopen (riolen, bermen, ov, â€¦);IE-GEEN;13500;-   ;-   ;13500;-   ;-;;;;;
3.3.4.4;Voeren van een milieuvriendelijk waterlopenbeheer;0319-00;Overig waterbeheer;U;2203000;Terreinen van waterlopen - gemeenschapsgoederen;IE6;10000;-   ;-   ;10000;-   ;-;;;;;
3.3.4.5;Bouwen en onderhouden van installaties voor individuele afvalwaterzuivering;0310-00;Beheer van regen- en afvalwater;U;2280007;Riolering - Activa in aanbouw;IE6;31665,11;13134,89;6928,39;24736,72;-6206,5;-47,25 %;;;;;
3.3.4.6;Stimuleren van duurzaam watergebruik;0310-00;Beheer van regen- en afvalwater;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;6000;13050;2550;3450;-10500;-80,46 %;;;;;bekijken BW2
3.4.1.1;Vervullen van een voorbeeldrol op vlak van energiebesparing;0119-00;Overige algemene diensten;U;2210107;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;IE6;-17548,35;134200,81;-   ;-17548,35;-134200,81;-100,00 %;;17548,35;-   ;correctie aanrekening verwarming nieuw GH in rekening 2015;
3.4.1.1;Vervullen van een voorbeeldrol op vlak van energiebesparing;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;4000;-   ;1964,72;2035,28;1964,72;-;;;;;
3.4.1.3;Sensibiliseren van gemeentelijke diensten en inwoners;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;1500;1284,85;454;1046;-830,85;-64,67 %;;;;;
3.4.1.4;Zoeken naar mogelijkheden tot gezamenlijke klimaatacties met de gemeente Oña;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;2200;2036,9;232,17;1967,83;-1804,73;-88,60 %;;;;;
3.4.2.1;Actiever informeren en sensibiliseren rond thema's inzake internationale solidariteit;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;3000;2431,46;205;2795;-2226,46;-91,57 %;;;;;
3.4.2.2;Ondersteunen van eerlijke handel en promotie van fairtradeproducten;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;1000;185,74;589,66;410,34;403,92;217,47 %;;;;;
3.4.2.3;Samenwerken met de gemeente Oña voor een goed lokaal beleid;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;30300;32572,38;35914,98;-5614,98;3342,6;10,26 %;;92555,62;122855,62;overdracht restmiddelen federaal programma van 2015 naar 2016;
3.4.2.4;Voorzien van ondersteunende structuren in Oña en Bierbeek m.b.t. de verbroedering;0160-00;Hulp aan het buitenland;U;6159999;Overige exploitatiekosten;IE-GEEN;3000;750;750;2250;-   ;0,00 %;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;U;2220007;Bebouwde terreinen - gemeenschapsgoederen - Activa in aanbouw;IE6;40300;-   ;-   ;40300;-   ;-;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;U;2350000;Installaties, machines en uitrusting - bedrijfsmatige MVA;IE6;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.4.3.1;Optimaliseren van het gemeentelijk containerpark en de groencompostering in eigen beheer;0309-00;Overig afval- en materialenbeheer;U;6159999;Overige exploitatiekosten;IE-GEEN;271500;237101,44;121570,33;149929,67;-115531,11;-48,73 %;;;;te evalueren bij volgende BW - kan mss iets minder…;
3.4.3.2;Stimuleren van het gebruik van milieuvriendelijke en duurzame producten;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;400;-   ;-   ;400;-   ;-;;;;;
3.4.3.2;Stimuleren van het gebruik van milieuvriendelijke en duurzame producten;0944-00;Opvoedingsondersteuning;U;6491000;Toegestane werkingssubsidies aan gezinnen;IE-GEEN;1000;-   ;450;550;450;-;;;;;
3.4.3.3;Reduceren van bestrijdingsmiddelen;0200-00;Wegen;U;2300000;Installaties, machines en uitrusting - gemeenschapsgoederen;IE6;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.4.3.3;Reduceren van bestrijdingsmiddelen;0329-00;Overige vermindering van milieuverontreiniging;U;6001000;Aankoop technisch materiaal;IE-GEEN;3000;-   ;1569,05;1430,95;1569,05;-;;;;;
3.4.3.4;Stimuleren en ondersteunen van de kringloopwerking;0309-00;Overig afval- en materialenbeheer;U;6040000;Aankopen van roerende goederen bestemd voor verkoop;IE-GEEN;6500;-   ;3608,39;2891,61;3608,39;-;;9000;15500;roze zakken;te bekijken
3.4.3.4;Stimuleren en ondersteunen van de kringloopwerking;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;750;693,48;-   ;750;-693,48;-100,00 %;;;;;
3.5.1.1;Onderzoeken en uitwerken van de vestigingsmogelijkheden voor lokale bedrijven;0610-00;Gebiedsontwikkeling;U;6131002;Erelonen en vergoedingen consultancy;IE-GEEN;2500;-   ;-   ;2500;-   ;-;;;;;
3.5.1.2;Opmaken en uitvoeren van een RUP herstructurering oude melkerij Bierbeek;0610-00;Gebiedsontwikkeling;U;2140000;Plannen en studies;IE4;15000;-   ;-   ;15000;-   ;-;;;;;
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;U;6103501;Benodigdheden voor aanleg en onderhoud van wegen;IE-GEEN;6100;4517,17;442,75;5657,25;-4074,42;-90,20 %;;;;;
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;7500;2999,42;2656,21;4843,79;-343,21;-11,44 %;;;;;
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;U;6150001;Aankoop klein materieel;IE-GEEN;1800;-   ;-   ;1800;-   ;-;;;;;
3.5.1.4;Ondersteunen van netwerk- en handelskernversterkende initiatieven voor de Bierbeekse ondernemers;0500-00;Handel en middenstand;U;6159999;Overige exploitatiekosten;IE-GEEN;3630,7;3535,03;2598;1032,7;-937,03;-26,51 %;;;;;
3.5.1.6;Stimuleren van duurzame lokale productie en consumptie;0380-00;Participatie en sensibilisatie;U;6159999;Overige exploitatiekosten;IE-GEEN;250;-   ;-   ;250;-   ;-;;;;;
3.5.3.2;Opmaken en uitvoeren van het Project ‘De Borre als poort tot Meerdaalwoud’;0520-00;Toerisme - Onthaal en promotie;U;6139999;Andere erelonen en vergoedingen voor prestaties van derden;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
3.5.3.4;Uitgeven van toeristische folders en routes voor wandelaars en nietgemotoriseerd verkeer;0520-00;Toerisme - Onthaal en promotie;U;6150013;Drukwerk voor exploitatie;IE-GEEN;5000;360;-   ;5000;-360;-100,00 %;;;;;
3.5.3.5;Bewegwijzeren van routes voor wandelaars en niet-gemotoriseerd verkeer;0520-00;Toerisme - Onthaal en promotie;U;6159999;Overige exploitatiekosten;IE-GEEN;1000;552,99;48,96;951,04;-504,03;-91,15 %;;;;;
3.5.3.6;Verbeteren van de toegankelijkheid van het Bruulbos;0680-00;Groene ruimte;U;6103501;Benodigdheden voor aanleg en onderhoud van wegen;IE-GEEN;5000;-   ;2969,01;2030,99;2969,01;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0190-00;Overig algemeen bestuur;U;6143005;Reis- en verblijfkosten (Dienstverplaatsing);IE-GEEN;-   ;886,84;1607,53;-1607,53;720,69;81,26 %;;2000;2000;;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6141007;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);IE-GEEN;20;15,34;6,92;13,08;-8,42;-54,89 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6201000;Bezoldigingen vastbenoemd personeel;IE-GEEN;-   ;-   ;22676,6;-22676,6;22676,6;-;;36500;36500;Jo Merens - van contractueel naar vastbenoemd;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6201100;Vakantiegeld vastbenoemd personeel;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6202000;Bezoldigingen gesubsidieerde contractuelen;IE-GEEN;-   ;55928,08;-   ;-   ;-55928,08;-100,00 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6202100;Vakantiegeld gesubsidieerde contractuelen;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6203000;Bezoldigingen contractueel personeel;IE-GEEN;349582,35;286273,76;166592,02;182990,33;-119681,74;-41,81 %;;-40000;309582,35;"Jo Merens - van contractueel naar vastbenoemd ; kan mss nog meer af";idem, bekijken BW2
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6203100;Vakantiegeld contractuelen;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6211000;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;IE-GEEN;-   ;-   ;10554,26;-10554,26;10554,26;-;;16000;16000;Jo Merens - van contractueel naar vastbenoemd;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6211001;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6212000;Werkgeversbijdragen wettelijke verzekeringen - gesubsidieerde contractuelen;IE-GEEN;-   ;2437,91;-   ;-   ;-2437,91;-100,00 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6213000;Werkgeversbijdragen wettelijke verzekeringen -  contractuelen;IE-GEEN;85498;84357,46;44931,37;40566,63;-39426,09;-46,74 %;;-8000;77498;Jo Merens - van contractueel naar vastbenoemd;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6221100;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6222000;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen -gesubs.contract.;IE-GEEN;-   ;420,35;-   ;-   ;-420,35;-100,00 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6222100;Werkgeversbijdragen voor bovenwet.verzek.-hospitalisatieverzek.-gesubs.contract.;IE-GEEN;-   ;1270,5;-   ;-   ;-1270,5;-100,00 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6223000;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen -  contractuelen;IE-GEEN;3572,12;2733,94;1440,68;2131,44;-1293,26;-47,30 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6223100;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;IE-GEEN;2077,16;726;1780,9;296,26;1054,9;145,30 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6230001;Kosten voor verplaatsingen van en naar het werk;IE-GEEN;700;225,59;188,19;511,81;-37,4;-16,58 %;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6231004;Maaltijdcheques;IE-GEEN;13500;12460;6111;7389;-6349;-50,96 %;;-500;13000;Vaststelling bij rekening 2015;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6496000;Tussenkomst in de vakbondspremies;IE-GEEN;484,21;418,95;-   ;484,21;-418,95;-100,00 %;;-484,21;-   ;Correctie JBR 6231003 ipv 6496000;idem
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0701-00;Cultuurcentrum;U;6499000;Samenwerkingsovereenkomsten;IE-GEEN;-   ;-   ;-   ;-   ;-   ;-;;;;;
4.1.1.1;Voorzien van een bijdrage aan de vzw Cultuurcentrum Bierbeek;0709-00;Overige culturele instellingen;U;6493000;Toegestane werkingssubsidies aan verenigingen;IE-GEEN;14490,87;11063,35;-   ;14490,87;-11063,35;-100,00 %;;;;;
4.1.1.2;Voorzien van een cursusaanbod voor jongeren;0750-00;Jeugd;U;6149000;Overige administratie- en kantoorkosten;IE-GEEN;500;334;-   ;500;-334;-100,00 %;;;;;
4.1.1.3;Organiseren van volwasseninitiaties sport;0740-00;Sport;U;6120999;Overige verzekeringen;IE-GEEN;300;266,5;-   ;300;-266,5;-100,00 %;;;;;
