Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;2016;2017;2018;2019;2020;2021
BP2014_2021-3/4.1.1.5/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.1.1.5;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.015,00;€ 1.020,00;€ 1.020,00;€ 1.020,00;€ 1.020,00;€ 1.020,00
BP2014_2021-3/4.1.2.1/0119-00/2210107/BESTUUR/CBS/IE5/U;4.1.2.1;0119-00;2210107;IE5;Gebouwen - administratieve gebouwen - gemeenschapsgoederen - Activa in aanbouw;0;;;;;
BP2014_2021-3/4.1.2.1/0701-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;0701-00;2400000;IE5;theatertechnische investeringen;€ 10.285,01;€ 7.500,00;€ 5.000,00;€ 2.000,00;€ 5.000,00;€ 5.000,00
BP2014_2021-3/4.1.2.1/0709-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.1;0709-00;2210500;IE5;electriciteit/verwarmingsketel buurthuis Korbeek-Lo;0;€ 61.000,00;;;;
BP2014_2021-3/4.1.2.1/0709-00/2300000/BESTUUR/CBS/IE5/U;4.1.2.1;0709-00;2300000;IE5;aankopen De Velpe & Buurthuis;€ 4.300,00;€ 1.600,00;€ 3.000,00;€ 1.900,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/4.1.2.1/0709-00/2420000/BESTUUR/CBS/IE5/U;4.1.2.1;0709-00;2420000;IE5;Overdracht krediet van 2015 naar 2016;0;;;;;
BP2014_2021-3/4.1.2.1/0740-00/2400000/BESTUUR/CBS/IE5/U;4.1.2.1;0740-00;2400000;IE5;aankoop afspuitstand MTB;0;€ 13.000,00;;0;;
BP2014_2021-3/4.1.2.2/0701-00/2140007/BESTUUR/CBS/IE5/U;4.1.2.2;0701-00;2140007;IE5;cultuur  Verhogen van kijk-en zitcomfort (studiekosten);€ 13.627,50;€ 53.372,50;;;;
BP2014_2021-3/4.1.2.2/0701-00/2210500/BESTUUR/CBS/IE5/U;4.1.2.2;0701-00;2210500;IE5;cultuur  Verhogen van kijk-en zitcomfort;;€ 670.000,00;;;;
BP2014_2021-3/4.1.2.3/0709-00/6640000/BESTUUR/CBS/IE5/U;4.1.2.3;0709-00;6640000;IE5;Toegestane investeringssubsidies;0;€ 45.000,00;;;;
BP2014_2021-3/4.2.1.1/0750-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.1;0750-00;6493000;IE-GEEN;Subsidie jeugdwerk;€ 14.426,19;€ 14.426,19;€ 14.426,19;€ 14.426,19;€ 14.426,19;€ 14.426,19
BP2014_2021-3/4.2.1.2/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.2;0740-00;6493000;IE-GEEN;Impulssubsidies sportverenigingen;€ 8.500,00;€ 8.500,00;€ 8.500,00;€ 8.500,00;€ 8.500,00;€ 8.500,00
BP2014_2021-3/4.2.1.3/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.3;0740-00;6493000;IE-GEEN;Toelage sportverenigingen;€ 13.500,00;€ 13.500,00;€ 13.500,00;€ 13.500,00;€ 13.500,00;€ 13.500,00
BP2014_2021-3/4.2.1.4/0701-00/6493000/BESTUUR/CBS/IE-GEEN/U;4.2.1.4;0701-00;6493000;IE-GEEN;Subsidies aan sociaal-culturele verenigingen;€ 16.550,00;€ 17.550,00;€ 16.000,00;€ 16.000,00;€ 16.000,00;€ 16.000,00
BP2014_2021-3/4.2.1.5/0750-00/6160200/BESTUUR/CBS/IE-GEEN/U;4.2.1.5;0750-00;6160200;IE-GEEN;Huur voertuigen;€ 6.500,00;€ 6.500,00;€ 6.500,00;€ 6.500,00;€ 6.500,00;€ 6.500,00
BP2014_2021-3/4.2.1.6/0750-00/6640000/BESTUUR/CBS/IE6/U;4.2.1.6;0750-00;6640000;IE6;Toegestane investeringssubsidies;0;€ 35.806,51;;;;
BP2014_2021-3/4.2.1.7/0750-00/6149000/BESTUUR/CBS/IE-GEEN/U;4.2.1.7;0750-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;0;0;0;0;;
BP2014_2021-3/4.2.2.1/0701-00/2400000/BESTUUR/CBS/IE6/U;4.2.2.1;0701-00;2400000;IE6;aankopen materiaal uitleendienst;€ 1.000,00;;€ 2.000,00;;€ 2.000,00;
BP2014_2021-3/4.2.2.1/0750-00/6001000/BESTUUR/CBS/IE-GEEN/U;4.2.2.1;0750-00;6001000;IE-GEEN;Aankoop technisch materiaal;€ 2.000,00;0;€ 1.000,00;0;€ 1.000,00;
BP2014_2021-3/4.3.1.1/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.1.1;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;500;500;500;500;;
BP2014_2021-3/4.3.1.2/0729-00/2250000/BESTUUR/CBS/IE6/U;4.3.1.2;0729-00;2250000;IE6;Overige infrastructuur betreffende de wegen;0;€ 3.000,00;;;;
BP2014_2021-3/4.3.1.3/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.1.3;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;200;200;200;200;200;200
BP2014_2021-3/4.3.2.1/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.2.1;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 6.850,00;€ 3.100,00;€ 3.100,00;€ 3.100,00;€ 3.100,00;€ 3.100,00
BP2014_2021-3/4.3.2.1/0729-00/7406999/BESTUUR/CBS/IE-GEEN/O;4.3.2.1;0729-00;7406999;IE-GEEN;erfgoeddag rituelen;0;0;;;;
BP2014_2021-3/4.3.2.2/0729-00/6159999/BESTUUR/CBS/IE-GEEN/U;4.3.2.2;0729-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/4.3.3.1/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.1;0720-03;1500000;IE6;Overdracht krediet van 2015 naar 2016;0;€ 12.007,00;;;;
BP2014_2021-3/4.3.3.1/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.1;0720-03;2140000;IE6;studiekosten pastorie Bierbeek;0;€ 41.006,53;;;;
BP2014_2021-3/4.3.3.2/0720-03/1500000/BESTUUR/CBS/IE6/O;4.3.3.2;0720-03;1500000;IE6;studiekosten en restauratie Sint Hilariuskerk;;;€ 445.035,00;€ 148.345,00;;
BP2014_2021-3/4.3.3.2/0720-03/2140000/BESTUUR/CBS/IE6/U;4.3.3.2;0720-03;2140000;IE6;Plannen en studies Sint Hilariuskerk gevel;0;€ 3.839,00;€ 23.034,00;€ 3.839,00;;
BP2014_2021-3/4.3.3.2/0720-03/2210700/BESTUUR/CBS/IE6/U;4.3.3.2;0720-03;2210700;IE6;restauratie Sint-hilariuskerk dak;;0;€ 698.021,00;;;
BP2014_2021-3/4.3.3.3/0720-01/1500000/BESTUUR/CBS/IE6/O;4.3.3.3;0720-01;1500000;IE6;studiekosten en restauratie Pastorie Opvelp;;;;0;;
BP2014_2021-3/4.3.3.4/0720-01/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-01;6640000;IE6;Toegestane investeringssubsidies;€ 20.000,00;€ 10.000,00;€ 20.000,00;0;€ 10.000,00;€ 10.000,00
BP2014_2021-3/4.3.3.4/0720-02/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-02;6640000;IE6;Toegestane investeringssubsidies;€ 41.841,12;€ 38.036,74;€ 126.180,71;€ 7.622,94;€ 22.868,83;€ 10.000,00
BP2014_2021-3/4.3.3.4/0720-03/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-03;6640000;IE6;Toegestane investeringssubsidies;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00
BP2014_2021-3/4.3.3.4/0720-04/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;0720-04;6640000;IE6;Overdracht krediet van 2015 naar 2016;€ 19.209,12;0;;€ 3.500,00;€ 10.000,00;€ 10.000,00
BP2014_2021-3/5.1.1.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.1.3;0800-02;1500000;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;0;;;;;
BP2014_2021-3/5.1.1.3/0800-02/2410000/BESTUUR/CBS/IE6/U;5.1.1.3;0800-02;2410000;IE6;Overdracht krediet van 2015 naar 2016;0;€ 13.000,00;€ 13.000,00;;;€ 14.000,00
BP2014_2021-3/5.1.2.1/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.1;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur;€ 47.803,44;€ 48.998,52;€ 50.223,49;€ 51.479,07;€ 52.766,05;€ 54.085,20
BP2014_2021-3/5.1.2.2/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.2;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur;€ 18.385,94;€ 18.845,59;€ 19.316,73;€ 19.799,64;€ 20.294,63;€ 20.802,00
BP2014_2021-3/5.1.2.3/0800-02/6207000/BESTUUR/CBS/IE-GEEN/U;5.1.2.3;0800-02;6207000;IE-GEEN;Bezoldigingen onderwijzend personeel ten laste van het bestuur;€ 7.354,38;€ 7.538,23;€ 7.726,69;€ 7.919,86;€ 8.117,86;€ 8.320,80
BP2014_2021-3/5.1.3.2/0800-01/1500000/BESTUUR/CBS/IE6/O;5.1.3.2;0800-01;1500000;IE6;Investeringssubsidies en -schenkingen in kapitaal met vordering op korte termijn;;;€ 283.500,00;;;
BP2014_2021-3/5.1.3.2/0800-01/2140007/BESTUUR/CBS/IE6/U;5.1.3.2;0800-01;2140007;IE6;Plannen en studies - Activa in aanbouw;0;0;0;;;
BP2014_2021-3/5.1.3.2/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.2;0800-01;2210200;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen;0;€ 405.000,00;0;;;
BP2014_2021-3/5.1.3.2/0800-01/6100200/BESTUUR/CBS/IE-GEEN/U;5.1.3.2;0800-01;6100200;IE-GEEN;Huur en huurlasten van gehuurde onroerende goederen (korte termijn);0;0;0;;;
BP2014_2021-3/5.1.3.3/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.3;0800-02;1500000;IE6;sanitair school;0;;;;;
BP2014_2021-3/5.1.3.3/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.3;0800-02;2210200;IE6;Extra sanitair;0;;;;€ 50.000,00;
BP2014_2021-3/5.1.3.4/0800-00/2140000/BESTUUR/CBS/IE6/U;5.1.3.4;0800-00;2140000;IE6;Plannen en studies;;;;0;;
BP2014_2021-3/5.1.3.4/0800-02/1500000/BESTUUR/CBS/IE6/O;5.1.3.4;0800-02;1500000;IE6;Overdracht krediet van 2015 naar 2016;0;;;;;
BP2014_2021-3/5.1.3.4/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;0800-02;2210200;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen;€ 125.000,00;;;0;;
BP2014_2021-3/5.1.3.5/0800-01/2400000/BESTUUR/CBS/IE6/U;5.1.3.5;0800-01;2400000;IE6;Meubilair - gemeenschapsgoederen;;€ 8.000,00;;;;
BP2014_2021-3/5.1.3.5/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.5;0800-02;2400000;IE6;aankoop van speeltoestellen (school);€ 7.500,00;;€ 7.500,00;;€ 7.500,00;
BP2014_2021-3/5.1.3.6/0800-01/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;0800-01;2400000;IE6;Meubilair - gemeenschapsgoederen;0;€ 7.500,00;;;;
BP2014_2021-3/5.1.3.6/0800-02/2400000/BESTUUR/CBS/IE6/U;5.1.3.6;0800-02;2400000;IE6;Meubilair - gemeenschapsgoederen;0;€ 21.800,00;;;;
BP2014_2021-3/5.2.1.2/0740-00/6159999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0740-00;6159999;IE-GEEN;Overige exploitatiekosten;€ 1.000,00;500;500;500;500;500
BP2014_2021-3/5.2.1.2/0889-00/6139999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0889-00;6139999;IE-GEEN;Andere erelonen en vergoedingen voor prestaties van derden;€ 2.400,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/5.2.1.2/0889-00/6159999/BESTUUR/CBS/IE-GEEN/U;5.2.1.2;0889-00;6159999;IE-GEEN;Overige exploitatiekosten - schoolsport en naschoolse sportactiviteiten;€ 2.500,00;€ 2.700,00;€ 2.700,00;€ 2.700,00;€ 2.700,00;€ 2.700,00
BP2014_2021-3/5.2.1.2/0889-00/7040003/BESTUUR/CBS/IE-GEEN/O;5.2.1.2;0889-00;7040003;IE-GEEN;Tussenkomsten van ouders in het toezicht en de bijlessen;500;500;500;500;500;500
BP2014_2021-3/6.1.1.1/0410-00/6494000/BESTUUR/CBS/IE-GEEN/U;6.1.1.1;0410-00;6494000;IE-GEEN;Bijdrage  werking brandweer;€ 317.000,00;€ 405.987,92;€ 469.658,57;€ 414.420,08;€ 440.316,58;€ 467.393,89
BP2014_2021-3/6.1.1.1/0410-00/6640000/BESTUUR/CBS/IE6/U;6.1.1.1;0410-00;6640000;IE6;Toegestane investeringssubsidies;€ 68.823,07;€ 73.314,94;€ 77.798,56;€ 82.282,17;€ 87.219,10;€ 92.452,25
BP2014_2021-3/6.1.1.2/0400-00/6494000/BESTUUR/CBS/IE-GEEN/U;6.1.1.2;0400-00;6494000;IE-GEEN;Bijdrage  werking politie;€ 868.780,00;€ 914.011,00;€ 941.431,00;€ 960.259,62;€ 979.464,81;€ 999.054,11
BP2014_2021-3/6.1.2.4/0490-00/2410000/BESTUUR/CBS/IE6/U;6.1.2.4;0490-00;2410000;IE6;uitwerking en implementatie DRP tss OCMW en GH;€ 41.282,44;;;;;
BP2014_2021-3/6.1.3.1/0119-00/6149000/BESTUUR/CBS/IE-GEEN/U;6.1.3.1;0119-00;6149000;IE-GEEN;Overige administratie- en kantoorkosten;100;0;0;0;;
BP2014_2021-3/GBB-CBS/0010-00/7400000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0010-00;7400000;IE-GEEN;Gemeentefonds;€ 1.333.276,00;€ 1.384.863,20;€ 1.433.334,40;€ 1.483.500,80;€ 1.535.424,00;€ 1.589.164,80
BP2014_2021-3/GBB-CBS/0010-00/7404999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0010-00;7404999;IE-GEEN;Overige algemene werkingssubsidies;€ 783.506,18;€ 783.506,18;€ 783.506,18;€ 783.506,18;€ 783.506,18;€ 783.506,18
BP2014_2021-3/GBB-CBS/0020-00/6479999/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0020-00;6479999;IE-GEEN;Overige diverse operationele kosten;€ 43.278,17;€ 43.762,20;€ 44.310,43;€ 45.216,93;€ 45.280,21;€ 45.838,75
BP2014_2021-3/GBB-CBS/0020-00/7300000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7300000;IE-GEEN;Opcentiemen op de onroerende voorheffing;€ 2.615.000,00;€ 2.618.153,39;€ 2.670.516,46;€ 2.723.926,79;€ 2.778.405,33;€ 2.833.973,43
BP2014_2021-3/GBB-CBS/0020-00/7301000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7301000;IE-GEEN;Aanvullende belasting op de personenbelasting 7%;€ 4.327.816,81;€ 4.376.219,88;€ 4.431.043,51;€ 4.521.693,27;€ 4.528.020,95;€ 4.583.874,53
BP2014_2021-3/GBB-CBS/0020-00/7302000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7302000;IE-GEEN;Motorrijtuigen;€ 137.286,24;€ 142.498,55;€ 145.348,52;€ 148.255,49;€ 151.220,60;€ 154.245,01
BP2014_2021-3/GBB-CBS/0020-00/7315000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7315000;IE-GEEN;Afgifte identiteitsbewijzen/paspoorten/trouwboekjes/uittreksels;€ 105.000,00;€ 76.000,00;€ 72.000,00;€ 59.000,00;€ 59.000,00;€ 59.000,00
BP2014_2021-3/GBB-CBS/0020-00/7316000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7316000;IE-GEEN;Aanvragen stedenbouwkundige vergunningen;€ 11.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00;€ 10.000,00
BP2014_2021-3/GBB-CBS/0020-00/7317000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7317000;IE-GEEN;Aanvragen/meldingen hinderlijke inrichtingen;340;250;250;250;250;250
BP2014_2021-3/GBB-CBS/0020-00/7319999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7319999;IE-GEEN;Verkeerssignalisatie en afbakening;750;750;750;750;750;750
BP2014_2021-3/GBB-CBS/0020-00/7330100/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7330100;IE-GEEN;Op rioolnet aangesloten en aansluitbare gebouwen;€ 24.000,00;€ 19.000,00;€ 19.000,00;€ 19.000,00;€ 19.000,00;€ 19.000,00
BP2014_2021-3/GBB-CBS/0020-00/7330200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7330200;IE-GEEN;Ontvangsten waterafvoerbijdrage (VMW);€ 470.729,29;€ 426.198,77;€ 431.739,35;€ 437.351,96;€ 437.351,96;€ 437.351,96
BP2014_2021-3/GBB-CBS/0020-00/7331100/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7331100;IE-GEEN;Begraving / bijzetting / verstrooiing;125;125;125;125;125;125
BP2014_2021-3/GBB-CBS/0020-00/7332200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332200;IE-GEEN;Diftar/ophaalronde;€ 305.000,00;€ 320.000,00;€ 300.000,00;€ 300.000,00;€ 300.000,00;€ 300.000,00
BP2014_2021-3/GBB-CBS/0020-00/7332300/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332300;IE-GEEN;Afgifte zakken, klevers, recipiÃ«nten;€ 61.000,00;€ 59.000,00;€ 59.000,00;€ 59.000,00;€ 59.000,00;€ 59.000,00
BP2014_2021-3/GBB-CBS/0020-00/7332700/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332700;IE-GEEN;Bedrijfsvuil / nijverheidsvuil;€ 5.000,00;€ 5.000,00;€ 5.000,00;€ 5.000,00;€ 5.000,00;€ 5.000,00
BP2014_2021-3/GBB-CBS/0020-00/7332800/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7332800;IE-GEEN;Sluikstorten;0;0;0;0;;
BP2014_2021-3/GBB-CBS/0020-00/7340300/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7340300;IE-GEEN;Groeven: zand, kiezel, klei;€ 1.112,50;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/GBB-CBS/0020-00/7341500/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7341500;IE-GEEN;Diensten verhuur voertuigen met bestuurder;998.58;946;952.92;959.97;959.97;959.97
BP2014_2021-3/GBB-CBS/0020-00/7341700/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7341700;IE-GEEN;Stapelplaatsen voor schroot / oude achtergelaten voertuigen/ materialen;700;700;700;700;700;700
BP2014_2021-3/GBB-CBS/0020-00/7342200/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7342200;IE-GEEN;Reclameborden;€ 7.700,00;€ 7.700,00;€ 7.700,00;€ 7.700,00;€ 7.700,00;€ 7.700,00
BP2014_2021-3/GBB-CBS/0020-00/7342400/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7342400;IE-GEEN;Verspreiding kosteloos reclamedrukwerk;€ 95.000,00;€ 100.000,00;€ 100.000,00;€ 100.000,00;€ 100.000,00;€ 100.000,00
BP2014_2021-3/GBB-CBS/0020-00/7374000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7374000;IE-GEEN;Leegstaande woningen en gebouwen;€ 41.500,00;€ 40.000,00;€ 40.000,00;€ 40.000,00;€ 40.000,00;€ 40.000,00
BP2014_2021-3/GBB-CBS/0020-00/7377000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0020-00;7377000;IE-GEEN;Tweede verblijven;€ 18.000,00;€ 15.000,00;€ 15.000,00;€ 15.000,00;€ 15.000,00;€ 15.000,00
BP2014_2021-3/GBB-CBS/0030-00/6400001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0030-00;6400001;IE-GEEN;Roerende voorheffing op bankinteresten;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00;€ 3.000,00
BP2014_2021-3/GBB-CBS/0030-00/6570001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0030-00;6570001;IE-GEEN;Debetintresten bankrekeningen;100;100;100;100;100;100
BP2014_2021-3/GBB-CBS/0030-00/7500000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7500000;IE-GEEN;Dividenden Finilek;€ 20.300,00;€ 23.000,00;€ 23.000,00;€ 23.000,00;€ 23.000,00;€ 23.000,00
BP2014_2021-3/GBB-CBS/0030-00/7510000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7510000;IE-GEEN;intresten op rekening courant;20;20;20;20;20;20
BP2014_2021-3/GBB-CBS/0030-00/7510002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0030-00;7510002;IE-GEEN;Intereseten termijn -en spaarrekeningen en termijnbeleggingen;€ 3.000,00;€ 1.500,00;€ 1.500,00;€ 1.500,00;€ 2.000,00;€ 2.000,00
BP2014_2021-3/GBB-CBS/0040-00/1733000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0040-00;1733000;IE-GEEN;Schulden aan kredietinstellingen ten laste van het bestuur;€ 1.025.000,00;€ 2.175.000,00;€ 1.700.000,00;;;
BP2014_2021-3/GBB-CBS/0040-00/4233000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;4233000;IE-GEEN;Aflossing van leningen;€ 1.052.000,00;€ 1.094.526,75;€ 1.055.829,94;€ 1.054.557,97;€ 1.025.134,53;€ 751.330,88
BP2014_2021-3/GBB-CBS/0040-00/4240000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;4240000;IE-GEEN;Overige leningen;€ 189.580,65;€ 190.320,12;€ 190.591,55;€ 190.871,74;€ 191.160,98;€ 181.961,09
BP2014_2021-3/GBB-CBS/0040-00/6500000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;6500000;IE-GEEN;Intresten op leningen;€ 260.000,00;€ 262.660,19;€ 290.182,95;€ 261.117,06;€ 240.000,00;€ 220.000,00
BP2014_2021-3/GBB-CBS/0040-00/6500200/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0040-00;6500200;IE-GEEN;Intresten op leningen;€ 14.000,00;€ 20.229,74;€ 20.911,08;€ 20.583,66;€ 15.000,00;€ 14.000,00
BP2014_2021-3/GBB-CBS/0050-00/2291000/BESTUUR/CBS/IE7/U;GBB-CBS;0050-00;2291000;IE7;Gebouwen - bedrijfsmatige MVA;€ 21.000,00;;;;;
BP2014_2021-3/GBB-CBS/0050-00/2610000/BESTUUR/CBS/IE7/U;GBB-CBS;0050-00;2610000;IE7;Gebouwen - overige MVA;€ 22.000,00;;;;;
BP2014_2021-3/GBB-CBS/0050-00/6100999/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6100999;IE-GEEN;doorstorting Jachtrechten;€ 6.600,00;632.77;632.77;632.77;632.77;632.77
BP2014_2021-3/GBB-CBS/0050-00/6103001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6103001;IE-GEEN;Benodigdheden voor gebouwen;€ 3.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00;€ 1.000,00
BP2014_2021-3/GBB-CBS/0050-00/6103010/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6103010;IE-GEEN;Prestaties van derden voor onderhoud en herstelling gebouwen;€ 3.500,00;€ 3.500,00;€ 3.500,00;€ 3.500,00;€ 3.500,00;€ 3.500,00
BP2014_2021-3/GBB-CBS/0050-00/6120100/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6120100;IE-GEEN;Brandverzekering;€ 20.643,52;€ 17.562,99;€ 17.914,25;€ 18.272,54;€ 18.300,00;€ 18.300,00
BP2014_2021-3/GBB-CBS/0050-00/6131010/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6131010;IE-GEEN;Opmaak schattingsverslagen;€ 3.500,00;750;750;750;750;750
BP2014_2021-3/GBB-CBS/0050-00/6400000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0050-00;6400000;IE-GEEN;Onroerende voorheffing;€ 9.111,32;€ 9.270,49;€ 9.432,04;€ 9.596,03;€ 9.700,00;€ 9.900,00
BP2014_2021-3/GBB-CBS/0050-00/7000002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7000002;IE-GEEN;Verkoop van houthak;€ 1.810,00;;;;;
BP2014_2021-3/GBB-CBS/0050-00/7050002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050002;IE-GEEN;Verhuring van gebouwen aan openbare sector, kerkfabrieken, gezinnen, bedrijven;€ 68.141,00;€ 68.600,00;€ 70.000,00;€ 71.500,00;€ 72.800,00;€ 74.300,00
BP2014_2021-3/GBB-CBS/0050-00/7050003/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050003;IE-GEEN;Opbrengsten uit verpachtingen;€ 6.753,76;€ 7.429,14;€ 7.429,14;€ 7.429,14;€ 7.577,72;€ 7.577,72
BP2014_2021-3/GBB-CBS/0050-00/7050999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7050999;IE-GEEN;Andere huuropbrengsten;€ 7.861,24;€ 7.800,00;€ 7.800,00;€ 7.800,00;€ 7.800,00;€ 7.800,00
BP2014_2021-3/GBB-CBS/0050-00/7060002/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0050-00;7060002;IE-GEEN;Opbrengsten uit jachtrechten;€ 1.256,06;€ 1.268,62;€ 1.281,30;€ 1.294,12;€ 1.307,06;€ 1.320,13
BP2014_2021-3/GBB-CBS/0090-00/7040999/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;0090-00;7040999;IE-GEEN;Retributie wapenwet;441.81;300;300;300;300;300
BP2014_2021-3/GBB-CBS/0100-00/6200000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200000;IE-GEEN;Bezoldiging burgemeester en schepenen;€ 196.770,00;€ 200.093,40;€ 204.095,27;€ 238.633,49;€ 243.406,16;€ 248.274,28
BP2014_2021-3/GBB-CBS/0100-00/6200001/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200001;IE-GEEN;Presentiegelden;€ 32.000,00;€ 32.000,00;€ 32.000,00;€ 35.000,00;€ 35.000,00;€ 35.000,00
BP2014_2021-3/GBB-CBS/0100-00/6200300/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;0100-00;6200300;IE-GEEN;Dienstverplaatsingen;100;100;100;100;100;100
