Code;Actie;Actie oms.;BI;Beleidsitem oms.;AR;IE;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;geen aanpassing;;;
BP2014_2019-0/GBB-CBS/0119-00/6141006/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6141006;IE-GEEN;Administratief drukwerk en kopieerkosten;€ 16,150.00;€ 16,150.00;€ 16,150.00;€ 16,150.00;€ 16,150.00;€ 16,150.00;;ok;;;
BP2014_2019-0/GBB-CBS/0119-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);€ 7.00;€ 7.00;€ 7.00;€ 7.00;€ 7.00;€ 7.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6142001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6142001;IE-GEEN;Aankoop klein hard- en softwaremateriaal;€ 2,200.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;€ 4,000.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6142800/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6142800;IE-GEEN;Onderhoudscontracten computermaterieel;€ 68,750.00;€ 65,250.00;€ 59,750.00;€ 59,750.00;€ 59,750.00;€ 59,750.00;;incl. Beheerssysteem voor delen bestanden met raadsleden (7,5)+52;;;
BP2014_2019-0/GBB-CBS/0119-00/6143001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6143001;IE-GEEN;Representatie- en receptiekosten & kosten onthaal;€ 22,500.00;€ 22,500.00;€ 22,500.00;€ 22,500.00;€ 22,500.00;€ 22,500.00;;kan wellicht ook met minder - in 2014 geen nieuwjaarsfeest op budget;;;
BP2014_2019-0/GBB-CBS/0119-00/6143004/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6143004;IE-GEEN;Restaurantkosten;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;€ 500.00;;ok;;;
BP2014_2019-0/GBB-CBS/0119-00/6150003/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6150003;IE-GEEN;Kosten van bewaking en veiligheid;€ 11,000.00;€ 12,000.00;€ 11,000.00;€ 11,000.00;€ 11,000.00;€ 11,000.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6150006/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6150006;IE-GEEN;Lidmaatschappen;€ 10,400.00;€ 11,600.00;€ 11,600.00;€ 11,600.00;€ 11,600.00;€ 11,600.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6150011/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6150011;IE-GEEN;Kosten werkkleding;€ 400.00;€ 400.00;€ 400.00;€ 400.00;€ 400.00;€ 400.00;;ok;;;
BP2014_2019-0/GBB-CBS/0119-00/6150800/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6150800;IE-GEEN;Onderhoudscontracten technisch materieel;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;;mag misschien lager - te bekijken in 2015...;;;
BP2014_2019-0/GBB-CBS/0119-00/6160001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6160001;IE-GEEN;Aankoop benodigdheden voor voertuigen;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;ok;;;
BP2014_2019-0/GBB-CBS/0119-00/6160003/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6160003;IE-GEEN;Controle- en keuringskosten voertuigen;€ 750.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6160004/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6160004;IE-GEEN;Olie en brandstof voor voertuigen;€ 1,200.00;€ 1,200.00;€ 1,200.00;€ 1,200.00;€ 1,200.00;€ 1,200.00;;ok, mss wat te veel...;;;
BP2014_2019-0/GBB-CBS/0119-00/6160300/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6160300;IE-GEEN;Onderhoud en herstelling voertuigen;€ 250.00;€ 250.00;€ 350.00;€ 350.00;€ 350.00;€ 350.00;;ok;;;
BP2014_2019-0/GBB-CBS/0119-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;€ 319,905.00;€ 327,902.63;€ 336,100.19;€ 344,502.70;€ 353,115.26;€ 361,943.14;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6203000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6203000;IE-GEEN;Bezoldigingen contractueel personeel;€ 43,743.00;€ 44,836.58;€ 45,957.49;€ 47,106.43;€ 48,284.09;€ 49,491.19;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;€ 63,277.50;€ 64,859.44;€ 66,480.92;€ 68,142.95;€ 69,846.52;€ 71,592.68;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;€ 76,037.50;€ 79,079.00;€ 82,242.16;€ 84,709.42;€ 87,250.71;€ 89,868.23;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6213000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6213000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - contractuelen;€ 11,600.00;€ 11,890.00;€ 12,187.25;€ 12,491.93;€ 12,804.23;€ 13,124.34;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;€ 1,277.51;€ 1,303.06;€ 1,329.12;€ 1,355.70;€ 1,382.82;€ 1,410.47;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6223000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6223000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen - contractuelen;€ 292.00;€ 299.30;€ 306.78;€ 314.45;€ 322.31;€ 330.37;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6223100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6223100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;€ 176.00;€ 179.52;€ 183.11;€ 186.77;€ 190.51;€ 194.32;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6231004;IE-GEEN;Maaltijdcheques;€ 8,100.00;€ 8,100.00;€ 8,100.00;€ 8,100.00;€ 8,100.00;€ 8,100.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6400009/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0200-00;;6400009;IE-GEEN;Belastingen en taksen op rollend materieel;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;€ 282.00;€ 286.23;€ 290.52;€ 294.88;€ 299.30;€ 303.79;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6599999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6599999;IE-GEEN;Overige diverse financiÃ«le kosten;€ 1,200.00;€ 1,250.00;€ 1,250.00;€ 1,250.00;€ 1,250.00;€ 1,250.00;;;;;
BP2014_2019-0/1.2.5.1/0130-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0130-00;Administratieve dienstverlening;6150010;IE-GEEN;Opleidingskosten;€ 600.00;€ 600.00;€ 600.00;€ 600.00;€ 600.00;€ 600.00;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);€ 2.00;€ 2.00;€ 2.00;€ 2.00;€ 2.00;€ 2.00;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6150008/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6150008;IE-GEEN;Onkosten ID kaarten, reispassen en rijbewijzen;€ 63,000.00;€ 63,000.00;€ 63,000.00;€ 63,000.00;€ 63,000.00;€ 63,000.00;;ok;;;
BP2014_2019-0/GBB-CBS/0130-00/6159999/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6159999;IE-GEEN;Onkosten ID kaarten, reispassen en rijbewijzen;€ 10,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00;€ 13,000.00;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;€ 59,550.00;€ 61,038.75;€ 62,564.72;€ 64,128.84;€ 65,732.06;€ 67,375.36;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6202000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6202000;IE-GEEN;Bezoldigingen gesubsidieerde contractuelen;€ 37,700.00;€ 38,642.50;€ 39,608.56;€ 40,598.78;€ 41,613.75;€ 42,654.09;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6203000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6203000;IE-GEEN;Bezoldigingen contractueel personeel;€ 27,150.00;€ 27,828.75;€ 28,524.47;€ 29,237.58;€ 29,968.52;€ 30,717.73;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;€ 8,750.00;€ 8,968.75;€ 9,192.97;€ 9,422.79;€ 9,658.36;€ 9,899.82;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;€ 13,800.00;€ 14,352.00;€ 14,926.08;€ 15,373.86;€ 15,835.08;€ 16,310.13;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6212000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6212000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - gesubsidieerde contractuelen;€ 1,848.00;€ 1,894.20;€ 1,941.56;€ 1,990.09;€ 2,039.85;€ 2,090.84;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6213000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6213000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - contractuelen;€ 8,750.00;€ 8,968.75;€ 9,192.97;€ 9,422.79;€ 9,658.36;€ 9,899.82;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;€ 588.50;€ 600.27;€ 612.28;€ 624.52;€ 637.01;€ 649.75;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6222000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6222000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen -gesubs.contract.;€ 312.00;€ 319.80;€ 327.80;€ 335.99;€ 344.39;€ 353.00;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6222100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6222100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek.-hospitalisatieverzek.-gesubs.contract.;€ 363.00;€ 370.26;€ 377.67;€ 385.22;€ 392.92;€ 400.78;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6223000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6223000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen - contractuelen;€ 208.00;€ 213.20;€ 218.53;€ 223.99;€ 229.59;€ 235.33;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6223100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6223100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;€ 292.60;€ 298.45;€ 304.42;€ 310.51;€ 316.72;€ 323.05;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6231004;IE-GEEN;Maaltijdcheques;€ 5,400.00;€ 5,400.00;€ 5,400.00;€ 5,400.00;€ 5,400.00;€ 5,400.00;;;;;
BP2014_2019-0/GBB-CBS/0130-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;€ 188.00;€ 190.82;€ 193.68;€ 196.59;€ 199.54;€ 202.53;;;;;
BP2014_2019-0/1.1.2.1/0160-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0160-00;Hulp aan het buitenland;6493000;IE-GEEN;Toelage Oña-jongeren;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;
BP2014_2019-0/1.1.2.1/0160-00/6493000/BESTUUR/CBS/800/IE-GEEN/U;1.1.2.1;Optimaliseren van de werking van de adviesraden en deze ondersteunen;0160-00;Hulp aan het buitenland;6493000;IE-GEEN;Toelage GRIS;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;€ 250.00;;;;;
BP2014_2019-0/1.1.2.5/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.1.2.5;Verbreden en verdiepen van het draagvlak voor internationale samenwerking;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 2,000.00;€ 12,500.00;€ 12,500.00;€ 12,500.00;€ 12,500.00;€ 12,500.00;;;;;
BP2014_2019-0/1.2.3.8/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.8;Integreren van aspecten van internationale solidariteit en duurzaamheid;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;
BP2014_2019-0/1.2.4.3/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;1.2.4.3;Afstemmen van de samenwerking en uitwisseling met de partnergemeente Oña;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 5,500.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;;;;;
BP2014_2019-0/1.2.5.1/0160-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0160-00;Hulp aan het buitenland;6150010;IE-GEEN;Opleidingskosten;€ 75.00;€ 75.00;€ 75.00;€ 75.00;€ 75.00;€ 75.00;;;;;
BP2014_2019-0/3.4.1.4/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.1.4;Zoeken naar mogelijkheden tot gezamenlijke klimaatacties met de gemeente Oña;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;;;;;
BP2014_2019-0/3.4.2.1/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.2.1;Actiever informeren en sensibiliseren rond thema's inzake internationale solidariteit;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 30,500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;€ 6,500.00;;;;;
BP2014_2019-0/3.4.2.2/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.2.2;Ondersteunen van eerlijke handel en promotie van fairtradeproducten;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 2,000.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;;;;
BP2014_2019-0/3.4.2.3/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.2.3;Samenwerken met de gemeente Oña voor een goed lokaal beleid;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 8,500.00;€ 125,128.00;€ 30,300.00;€ 0.00;€ 0.00;€ 0.00;;;;;
BP2014_2019-0/3.4.2.4/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;3.4.2.4;Voorzien van ondersteunende structuren in Oña en Bierbeek m.b.t. de verbroedering;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;Overige exploitatiekosten;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);€ 0.50;€ 0.50;€ 0.50;€ 0.50;€ 0.50;€ 0.50;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6159999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6159999;IE-GEEN;"Werkingskosten ""Verbroederingsproject""";€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;€ 5,000.00;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6203000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6203000;IE-GEEN;Bezoldigingen contractueel personeel;€ 23,350.00;€ 23,933.76;€ 24,532.10;€ 25,145.40;€ 25,774.04;€ 26,418.38;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6213000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6213000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - contractuelen;€ 6,650.00;€ 6,818.26;€ 6,986.66;€ 7,161.32;€ 7,340.36;€ 7,523.86;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6223000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6223000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen - contractuelen;€ 250.00;€ 256.26;€ 262.66;€ 269.22;€ 275.96;€ 282.86;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6223100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6223100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - hospitalisatieverzek. -contractuelen;€ 107.87;€ 110.03;€ 112.23;€ 114.48;€ 116.76;€ 119.10;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6231004;IE-GEEN;Maaltijdcheques;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6493000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6493000;IE-GEEN;Toelagen internationale samenwerking.;€ 25,400.00;€ 25,400.00;€ 25,400.00;€ 25,400.00;€ 25,400.00;€ 25,400.00;;;;;
BP2014_2019-0/GBB-CBS/0160-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0160-00;Hulp aan het buitenland;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;€ 47.00;€ 47.71;€ 48.42;€ 49.15;€ 49.88;€ 50.63;;;;;
BP2014_2019-0/GBB-CBS/0190-00/6120150/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6120150;IE-GEEN;Burgerlijke aansprakelijkheid;€ 21,500.00;€ 21,930.00;€ 22,368.60;€ 22,815.97;€ 23,272.29;€ 23,737.74;;misschien iets  te veel in MJP...;;;
BP2014_2019-0/GBB-CBS/0190-00/6120160/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6120160;IE-GEEN;Verzekering voertuigen;€ 10,500.00;€ 10,710.00;€ 10,924.20;€ 11,142.68;€ 11,365.54;€ 11,592.85;;misschien iets  te veel in MJP...;;;
BP2014_2019-0/GBB-CBS/0190-00/6143005/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6143005;IE-GEEN;Reis- en verblijfkosten (Dienstverplaatsing);€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00;€ 4,500.00;;ok;;;
BP2014_2019-0/GBB-CBS/0190-00/6149000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6149000;IE-GEEN;Overige administratie- en kantoorkosten;€ 10,000.00;€ 0.00;€ 0.00;€ 0.00;€ 10,000.00;€ 10,000.00;;= verkiezingen;;;
BP2014_2019-0/GBB-CBS/0190-00/6160300/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6160300;IE-GEEN;Onderhoud en herstelling voertuigen;€ 3,000.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;;;;
BP2014_2019-0/GBB-CBS/0190-00/6230001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6230001;IE-GEEN;Kosten voor verplaatsingen van en naar het werk;€ 4,000.00;€ 4,060.00;€ 4,120.90;€ 4,182.71;€ 4,245.45;€ 4,309.14;;ok;;;
BP2014_2019-0/GBB-CBS/0190-00/6231005/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6231005;IE-GEEN;Verzekering arbeidsongevallen;€ 44,900.00;€ 45,798.00;€ 46,713.96;€ 47,648.24;€ 48,601.20;€ 49,573.23;;? Genoeg in MJP ? Afrekening 2014;;;
BP2014_2019-0/GBB-CBS/0190-00/6239999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6239999;IE-GEEN;Vergoeding voor laatste ziekte en begrafeniskosten;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;;ok;;;
BP2014_2019-0/GBB-CBS/0190-00/6479999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6479999;IE-GEEN;Overige diverse operationele kosten;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;;;;
BP2014_2019-0/GBB-CBS/0190-00/6500100/BESTUUR/CBS/450/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6500100;IE-GEEN;FinanciÃ«le kosten leasingschulden;€ 0.00;€ 0.00;€ 415,978.29;€ 415,978.29;€ 415,978.29;€ 415,978.29;;;;;
BP2014_2019-0/GBB-CBS/0190-00/6570002/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0190-00;Overig algemeen bestuur;6570002;IE-GEEN;Verwijlintresten;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;;;;;
BP2014_2019-0/1.2.5.1/0200-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0200-00;Wegen;6150010;IE-GEEN;Opleidingskosten;€ 1,950.00;€ 1,950.00;€ 1,950.00;€ 1,950.00;€ 1,950.00;€ 1,950.00;;;;;
